,coll_index,surname_x,initials_x,clean_name,raw_name,name,matched_name,distance,dup_count,item,itemLabel,surname_y,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
2721,c01312,FORDE,H.,"FORDE, H.","FORDE, Helena, Mrs, nee SCOTT","FORDE, H.","Forde, N.",0.71,1,http://www.wikidata.org/entity/Q21395061,Neville Forde,Forde,N.,"Forde, N.",,,,64223,2821-1,Forde,,,,
2722,c01365,GAGE,T.,"GAGE, T.","GAGE, Thomas, Sir","GAGE, T.","Gage, C.",0.71,1,http://www.wikidata.org/entity/Q28146763,Ceri Gage,Gage,C.,"Gage, C.",,,,,,,,,,
2723,c01469,GRAFF,R.,"GRAFF, R.","GRAFF, Robert","GRAFF, R.","Graf, R.",0.71,1,http://www.wikidata.org/entity/Q21514194,Rainer Graf,Graf,R.,"Graf, R.",,67377426,0000 0000 1474 7552,72625,3313-1,R.Graf,1811.0,1872.0,,
2724,c01541,GUNN,B.F.,"GUNN, B.F.","GUNN, Bee Fong","GUNN, B.F.","Gunn, B.",0.71,1,http://www.wikidata.org/entity/Q36516057,Bee Gunn,Gunn,B.,"Gunn, B.",,,,,20031453-1,B.Gunn,,,,
2725,c01621,HARVEY,R.B.,"HARVEY, R.B.","HARVEY, R.B.","HARVEY, R.B.","Harvey, R.S.",0.71,1,http://www.wikidata.org/entity/Q46996509,Ruth Sawyer Harvey,Harvey,R.S.,"Harvey, R.S.",,,,,,,,,,
2726,c01630,HAWKER,G.C.,"HAWKER, G.C.","HAWKER, George Charles, Hon.","HAWKER, G.C.","Hawker, P.",0.71,1,http://www.wikidata.org/entity/Q7174586,Peter Hawker,Hawker,P.,"Hawker, P.",,44140419,0000 0000 6124 355X,,,,1785.0,1853.0,,
2727,c01663,HENNE,D.,"HENNE, D.","HENNE, Diedrich","HENNE, D.","Henne, C.",0.71,1,http://www.wikidata.org/entity/Q23674952,Christopher Henne,Henne,C.,"Henne, C.",,,,,,,,,,
2728,c01701,HILLIER,A.M.,"HILLIER, A.M.","HILLIER, Angela M., Mrs","HILLIER, A.M.","Hillier, A.P.",0.71,1,http://www.wikidata.org/entity/Q15689540,Alfred Peter Hillier,Hillier,A.P.,"Hillier, A.P.",,31149519,,,,,1858.0,1911.0,,
2729,c01731,HOLDSWORTH,J.,"HOLDSWORTH, J.","HOLDSWORTH, J.","HOLDSWORTH, J.","Holdsworth, E.W.H.",0.71,1,http://www.wikidata.org/entity/Q21340867,Edmund William Hunt Holdsworth,Holdsworth,E.W.H.,"Holdsworth, E.W.H.",,,,,,,,,,
2730,c01815,ISAAC,G.,"ISAAC, G.","ISAAC, Golda, Mrs*","ISAAC, G.","Isaac, V.",0.71,1,http://www.wikidata.org/entity/Q50822826,Victoria Isaac,Isaac,V.,"Isaac, V.",0000-0002-7652-2708,,,,,,,,,
2731,c01970,KIRBY,K.A.,"KIRBY, K.A.","KIRBY, K.A.","KIRBY, K.A.","Kirby, M.",0.71,1,http://www.wikidata.org/entity/Q18576728,Mary Kirby,Kirby,M.,"Kirby, M.",,49472010,0000 0000 6658 1021,81338.0,12608-1,Kirby,1817.0,1893.0,,
2732,c02010,LAIDLAW,W.,"LAIDLAW, W.","LAIDLAW, William","LAIDLAW, W.","Laidlaw, F.F.",0.71,1,http://www.wikidata.org/entity/Q5799028,Frank Fortescue Laidlaw,Laidlaw,F.F.,"Laidlaw, F.F.",,169986763,0000 0001 1891 4108,,,,1876.0,1963.0,,
2733,c02251,MARTIN,A.R.H.,"MARTIN, A.R.H.","MARTIN, Anthony R.H., Dr","MARTIN, A.R.H.","Martin, A.R.",0.71,1,http://www.wikidata.org/entity/Q593496,Anton Rolandsson Martin,Martin,A.R.,"Martin, A.R.",,101085708,0000 0000 7731 2601,1548.0,,,1729.0,1785.0,,
2734,c02338,McLAUGHLIN,A.M.n.N.,"McLAUGHLIN, A.M.n.N.","McLAUGHLIN, Ada Mary nee Norton","McLAUGHLIN, A.M.n.N.","McLaughlin, J.",0.71,1,http://www.wikidata.org/entity/Q21520270,J.Harvey McLaughlin,McLaughlin,J.,"McLaughlin, J.",,,,,23171-1,J.H.McLaughlin,1915.0,,,
2735,c02384,MESSMER,P.R.[.C.A.].,"MESSMER, P.R.[.C.A.].","MESSMER, Pearl R. [Mrs C.A.]","MESSMER, P.R.[.C.A.].","Messmer, P.R.",0.71,1,http://www.wikidata.org/entity/Q33684634,Pearl R. Messmer,Messmer,P.R.,"Messmer, P.R.",,,,78964,6387-1,Messmer,,,,
2736,c02576,NORMAN,J.T.,"NORMAN, J.T.","NORMAN, J.T.","NORMAN, J.T.","Norman, J.A.",0.71,1,http://www.wikidata.org/entity/Q25525604,Janette A. Norman,Norman,J.A.,"Norman, J.A.",,,,,,,,,,
2737,c02648,RAMSAY,R.G.,"RAMSAY, R.G.","RAMSAY, Robert Garden","RAMSAY, R.G.","Ramsay, R.G.W.",0.71,1,http://www.wikidata.org/entity/Q3346295,Robert George Wardlaw Ramsay,Ramsay,R.G.W.,"Ramsay, R.G.W.",,287533348,,,,,1852.0,1921.0,,
2738,c02666,RAY,M.,"RAY, M.","RAY, Miss","RAY, M.","Ray, M.F.",0.71,1,http://www.wikidata.org/entity/Q21340175,Martin Forbes Ray,Ray,M.F.,"Ray, M.F.",,,,,38348-1,M.F.Ray,,,,
2739,c02681,REID,N.F.,"REID, N.F.","REID, N.F.","REID, N.F.","Reid, N.",0.71,1,http://www.wikidata.org/entity/Q30311369,Neil Reid,Reid,N.,"Reid, N.",,,,,,,,,,
2740,c03020,STARK,T.,"STARK, T.","STARK, Tony","STARK, T.","Stark, J.",0.71,1,http://www.wikidata.org/entity/Q55072842,Josef Stark,Stark,J.,"Stark, J.",,,,,,,1813.0,1889.0,,
2741,c03069,STRETCH,J.,"STRETCH, J.","STRETCH, John*","STRETCH, J.","Stretch, R.H.",0.71,1,http://www.wikidata.org/entity/Q21389637,Richard Harper Stretch,Stretch,R.H.,"Stretch, R.H.",,7569155044839872520004,,34060.0,,,1837.0,1926.0,,
2742,c03514,WOODS,J.E.T.,"WOODS, J.E.T.","WOODS, J. E. Tenison, see TENISON-WOODS","WOODS, J.E.T.","Woods, J.",0.71,1,http://www.wikidata.org/entity/Q920730,Joseph Woods,Woods,J.,"Woods, J.",,3253133,0000 0000 2014 5021,12836.0,11856-1,J.Woods,1776.0,1864.0,,
2743,c03222,TURPIN,(.o.P.J.F.T.,"TURPIN, (.o.P.J.F.T.","TURPIN, (son of P. J. F.Turpin)","TURPIN, (.o.P.J.F.T.","Turpin, P.",0.71,1,http://www.wikidata.org/entity/Q36656399,P.G. Turpin,Turpin,P.,"Turpin, P.",,,,,27996-1,P.G.Turpin,,,,
2744,c01002,D'ALTON,S.E.,"D'ALTON, S.E.","D'ALTON, St Eloy","D'ALTON, S.E.","Dalton, J.",0.71,2,http://www.wikidata.org/entity/Q21509743,James Dalton,Dalton,J.,"Dalton, J.",,,,46952,12396-1,Js.Dalton,1764.0,1843.0,,
