,label,count,start_date,end_date,activity_span,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
109,"Kuchel, R.H.",3680,1906.0,1981.0,75.0,"Kuchel, R.H.","Kuchel, R.H.",0.0,1,http://www.wikidata.org/entity/Q6107306,Rex Harold Kuchel,Kuchel,R.H.,"Kuchel, R.H.",,,,73101,5100-1,Kuchel,1917.0,1986.0,,
110,"West, J.G.",3545,1917.0,2011.0,94.0,"West, J.G.","West, J.G.",0.0,1,http://www.wikidata.org/entity/Q18166796,Judith Gay West,West,J.G.,"West, J.G.",,,,,12307-1,J.G.West,1949.0,,,
111,"Wheeler, J.R.",3432,1958.0,2002.0,44.0,"Wheeler, J.R.","Wheeler, J.R.",0.0,1,http://www.wikidata.org/entity/Q19003314,Judith Roderick Wheeler,Wheeler,J.R.,"Wheeler, J.R.",,,,,28703-1,J.R.Wheeler,1944.0,,,
112,"Norris, D.H.",3417,1973.0,1987.0,14.0,"Norris, D.H.","Norris, D.H.",0.0,1,http://www.wikidata.org/entity/Q21522236,Daniel Howard Norris,Norris,D.H.,"Norris, D.H.",,286985029,,,24158-1,D.H.Norris,1933.0,2017.0,,
113,"Walter, C.",3301,1835.0,1999.0,164.0,"Walter, C.","Walter, C.",0.0,1,http://www.wikidata.org/entity/Q17053407,Carl Walter,Walter,C.,"Walter, C.",,91829033,0000 0001 2030 6160,37942,13332-1,C.Walter,1831.0,1907.0,,
114,"Gray, A.M.",3243,1936.0,2017.0,81.0,"Gray, A.M.","Gray, A.M.",0.0,1,http://www.wikidata.org/entity/Q18985093,Alan Maurice Gray,Gray,A.M.,"Gray, A.M.",,,,78763,3351-1,A.M.Gray,1943.0,,,
115,"Haegi, L.",3236,1948.0,1999.0,51.0,"Haegi, L.","Haegi, L.",0.0,1,http://www.wikidata.org/entity/Q5971806,Laurence Haegi,Haegi,L.,"Haegi, L.",,,,79775,13662-1,Haegi,1952.0,,,
116,"Ross, J.H.",3221,1896.0,2005.0,109.0,"Ross, J.H.","Ross, J.H.",0.0,1,http://www.wikidata.org/entity/Q5925767,James Henderson Ross,Ross,J.H.,"Ross, J.H.",,254622576,,,8609-1,J.H.Ross,1941.0,,,
117,"Maconochie, J.",3218,1948.0,1987.0,39.0,"Maconochie, J.","Maconochie, J.",0.0,1,http://www.wikidata.org/entity/Q21339335,John Maconochie,Maconochie,J.,"Maconochie, J.",,277812553,,70076,5956-1,Maconochie,1941.0,1984.0,,
118,"Jackes, B.R.",3200,1955.0,2019.0,64.0,"Jackes, B.R.","Jackes, B.R.",0.0,1,http://www.wikidata.org/entity/Q21516848,Betsy Rivers Jackes,Jackes,B.R.,"Jackes, B.R.",,,,,13295-1,Jackes,1935.0,,,
