,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,match_string,name,matched_name,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
150,18202,Sewell,J.,Julia,1087,1882,1906,"Sewell, J.","Sewell, J.","Sewel, W.",0.76,1,http://www.wikidata.org/entity/Q2741574,William Sewel,Sewel,W.,"Sewel, W.",,71458237,0000 0001 1769 4596,,,,1653.0,1720.0,,
151,8455,Hansen,N.A.,,1082,1924,1965,"Hansen, N.A.","Hansen, N.A.","Hansen, N.E.",0.76,1,http://www.wikidata.org/entity/Q7031479,Niels Ebbesen Hansen,Hansen,N.E.,"Hansen, N.E.",,43853698,0000 0000 3847 1415,77292.0,3633-1,N.E.Hansen,1866.0,1950.0,,
152,10391,Johnson,Stephen,,1795,1876,1899,"Johnson, Stephen","Johnson, Stephen","Stephenson, J.",0.76,2,http://www.wikidata.org/entity/Q16062894,James Stephenson,Stephenson,J.,"Stephenson, J.",,66258506,0000 0000 6708 0659,,,,1808.0,1886.0,,
153,10391,Johnson,Stephen,,1795,1876,1899,"Johnson, Stephen","Johnson, Stephen","Stephenson, J.",0.76,2,http://www.wikidata.org/entity/Q33694336,John Stephenson,Stephenson,J.,"Stephenson, J.",,67964221,0000 0000 8256 6999,2187.0,10107-1,Stephenson,1790.0,1864.0,,
154,6960,French Jnr,C.H.,,1156,1866,1944,"French Jnr, C.H.","French Jnr, C.H.","French, C.H.",0.77,1,http://www.wikidata.org/entity/Q24170551,Charles Hamilton French,French,C.H.,"French, C.H.",,,,,,,1868.0,1950.0,,
155,4592,Cronin,M.,,1070,1887,1982,"Cronin, M.","Cronin, M.","Cronin, T.M.",0.77,1,http://www.wikidata.org/entity/Q21518049,Thomas M. Cronin,Cronin,T.M.,"Cronin, T.M.",,,,,,,,,,
156,826,Baker,W.R.A.,,1139,1868,1989,"Baker, W.R.A.","Baker, W.R.A.","Baker, W.",0.78,1,http://www.wikidata.org/entity/Q27926913,William Baker,Baker,W.,"Baker, W.",,24378115,,,,,1864.0,1929.0,,
157,14329,Muir,T.B.,,7191,1879,1986,"Muir, T.B.","Muir, T.B.","Muir, J.",0.79,2,http://www.wikidata.org/entity/Q379580,John Muir,Muir,J.,"Muir, J.",,68933311,0000 0001 2137 9847,24268.0,6757-1,J.Muir,1838.0,1914.0,,
158,14329,Muir,T.B.,,7191,1879,1986,"Muir, T.B.","Muir, T.B.","Muir, J.",0.79,2,http://www.wikidata.org/entity/Q1701160,John Muir,Muir,J.,"Muir, J.",,25755593,0000 0000 4321 0842,,20009120-1,John Muir,1874.0,1947.0,,
159,3774,Clarke,I.C.,Ian,2491,1975,2017,"Clarke, I.C.","Clarke, I.C.","Clarke, J.",0.8,1,http://www.wikidata.org/entity/Q11728948,Julia Clarke,Clarke,J.,"Clarke, J.",,,,,,,,,,
