,label,i18nCode,count,fq,start_date,end_date,activity_span,index,name,matched_name,distance,item_count,items,item_labels
352,"Renner, M.A.M.","collector.Renner, M.A.M.",3009,"collector:""Renner, M.A.M.""",2002.0,2019.0,17.0,711,"Renner, M.A.M.","Renner, M.A.M.",0.0,2,http://www.wikidata.org/entity/Q21607114|http://www.wikidata.org/entity/Q21391362,Matthew Anton Martyn Renner|Matt A. M. Renner
386,"Evans, M.","collector.Evans, M.",2767,"collector:""Evans, M.""",1923.0,2012.0,89.0,548,"Evans, M.","Evans, M.",0.0,2,http://www.wikidata.org/entity/Q59219170|http://www.wikidata.org/entity/Q88838133,Mark Evans|M. Evans
416,"Bailey, F.M.","collector.Bailey, F.M.",2551,"collector:""Bailey, F.M.""",1869.0,1997.0,128.0,564,"Bailey, F.M.","Bailey, F.M.",0.0,2,http://www.wikidata.org/entity/Q973866|http://www.wikidata.org/entity/Q2659122,Frederick Marshman Bailey|Frederick Manson Bailey
457,"French, C.","collector.French, C.",2147,"collector:""French, C.""",1853.0,2005.0,152.0,843,"French, C.","French, C.",0.0,2,http://www.wikidata.org/entity/Q5077883|http://www.wikidata.org/entity/Q21513525,Charles French|Charles French
469,"Clark, M.","collector.Clark, M.",2063,"collector:""Clark, M.""",1895.0,1990.0,95.0,403,"Clark, M.","Clark, M.",0.0,2,http://www.wikidata.org/entity/Q36622362|http://www.wikidata.org/entity/Q88837855,Mindi Clark|M.S. Clark
510,"Perry, G.","collector.Perry, G.",1847,"collector:""Perry, G.""",1969.0,1986.0,17.0,149,"Perry, G.","Perry, G.",0.0,2,http://www.wikidata.org/entity/Q3101836|http://www.wikidata.org/entity/Q21522849,George Perry|Gillian Perry
523,"Simmonds, J.H.","collector.Simmonds, J.H.",1798,"collector:""Simmonds, J.H.""",1881.0,1998.0,117.0,598,"Simmonds, J.H.","Simmonds, J.H.",0.0,2,http://www.wikidata.org/entity/Q36599242|http://www.wikidata.org/entity/Q21608912,John Howard Simmonds|Joseph Henry Simmonds
573,"Stuart, C.","collector.Stuart, C.",1531,"collector:""Stuart, C.""",1838.0,1963.0,125.0,275,"Stuart, C.","Stuart, C.",0.0,2,http://www.wikidata.org/entity/Q21609965|http://www.wikidata.org/entity/Q66366782,Charles Stuart|Chris Stuart
577,"Duncan, F.","collector.Duncan, F.",1521,"collector:""Duncan, F.""",1944.0,2007.0,63.0,325,"Duncan, F.","Duncan, F.",0.0,2,http://www.wikidata.org/entity/Q33670266|http://www.wikidata.org/entity/Q36553583,Fred Duncan|F.R.S. Duncan
578,"Hartley, W.","collector.Hartley, W.",1515,"collector:""Hartley, W.""",1923.0,1987.0,64.0,459,"Hartley, W.","Hartley, W.",0.0,2,http://www.wikidata.org/entity/Q21515537|http://www.wikidata.org/entity/Q6167650,William Hartley|William Hartley
633,"Roberts, J.","collector.Roberts, J.",1331,"collector:""Roberts, J.""",1886.0,2019.0,133.0,369,"Roberts, J.","Roberts, J.",0.0,2,http://www.wikidata.org/entity/Q24416371|http://www.wikidata.org/entity/Q21607276,James Roberts|J. Roberts
665,"Baker, M.L.","collector.Baker, M.L.",1253,"collector:""Baker, M.L.""",2002.0,2019.0,17.0,92,"Baker, M.L.","Baker, M.L.",0.0,2,http://www.wikidata.org/entity/Q21502500|http://www.wikidata.org/entity/Q47113540,Margaret L. Baker|Matthew L. Baker
689,"Taylor, R.","collector.Taylor, R.",1197,"collector:""Taylor, R.""",1965.0,2017.0,52.0,729,"Taylor, R.","Taylor, R.",0.0,2,http://www.wikidata.org/entity/Q3431264|http://www.wikidata.org/entity/Q28786203,Richard Taylor|Robert Taylor
704,"Klazenga, N.","collector.Klazenga, N.",1151,"collector:""Klazenga, N.""",1999.0,2018.0,19.0,786,"Klazenga, N.","Klazenga, N.",0.0,2,http://www.wikidata.org/entity/Q21517582|http://www.wikidata.org/entity/Q21387891,Niels Klazenga|N. Klazenga
715,"Davis, M.","collector.Davis, M.",1126,"collector:""Davis, M.""",1925.0,2010.0,85.0,654,"Davis, M.","Davis, M.",0.0,2,http://www.wikidata.org/entity/Q55147355|http://www.wikidata.org/entity/Q36622972,Mildred Davis|M.R. Davis
746,"Watson, J.E.","collector.Watson, J.E.",1056,"collector:""Watson, J.E.""",1960.0,2005.0,45.0,155,"Watson, J.E.","Watson, J.E.",0.0,2,http://www.wikidata.org/entity/Q29479282|http://www.wikidata.org/entity/Q43389624,Jeanette E. Watson|Joseph E. Watson
750,"Milne, J.","collector.Milne, J.",1053,"collector:""Milne, J.""",1986.0,2016.0,30.0,29,"Milne, J.","Milne, J.",0.0,2,http://www.wikidata.org/entity/Q2739759|http://www.wikidata.org/entity/Q21521526,John Milne|Josephine Milne
773,"Deane, H.","collector.Deane, H.",1024,"collector:""Deane, H.""",1870.0,1990.0,120.0,2,"Deane, H.","Deane, H.",0.0,2,http://www.wikidata.org/entity/Q55026821|http://www.wikidata.org/entity/Q5720270,Henry Deane|Henry Deane
784,"Reid, J.","collector.Reid, J.",755,"collector:""Reid, J.""",1912.0,2014.0,102.0,760,"Reid, J.","Reid, J.",0.0,2,http://www.wikidata.org/entity/Q22109480|http://www.wikidata.org/entity/Q47125085,James Reid|James Reid
821,"Hunter, W.","collector.Hunter, W.",941,"collector:""Hunter, W.""",1896.0,1964.0,68.0,408,"Hunter, W.","Hunter, W.",0.0,2,http://www.wikidata.org/entity/Q944360|http://www.wikidata.org/entity/Q3568719,William Hunter|William Hunter
835,"Davies, R.","collector.Davies, R.",914,"collector:""Davies, R.""",1928.0,2012.0,84.0,8,"Davies, R.","Davies, R.",0.0,2,http://www.wikidata.org/entity/Q18559854|http://www.wikidata.org/entity/Q47116071,Robert Davies|R.R. Davies
848,"Wilson, K.","collector.Wilson, K.",897,"collector:""Wilson, K.""",1933.0,2013.0,80.0,506,"Wilson, K.","Wilson, K.",0.0,2,http://www.wikidata.org/entity/Q36610176|http://www.wikidata.org/entity/Q36610160,K.S. Wilson|K.I. Wilson
850,"Wardell-Johnson, G.","collector.Wardell-Johnson, G.",894,"collector:""Wardell-Johnson, G.""",1897.0,2008.0,111.0,809,"Wardell-Johnson, G.","Wardell-Johnson, G.",0.0,2,http://www.wikidata.org/entity/Q26713803|http://www.wikidata.org/entity/Q21338848,G. Wardell-Johnson|Grant Wardell-Johnson
856,"Chapman, C.","collector.Chapman, C.",884,"collector:""Chapman, C.""",1954.0,1985.0,31.0,697,"Chapman, C.","Chapman, C.",0.0,2,http://www.wikidata.org/entity/Q29432430|http://www.wikidata.org/entity/Q47115338,Caitlin Chapman|C. Chapman
920,"Thompson, H.","collector.Thompson, H.",790,"collector:""Thompson, H.""",1887.0,1998.0,111.0,183,"Thompson, H.","Thompson, H.",0.0,2,http://www.wikidata.org/entity/Q33695957|http://www.wikidata.org/entity/Q21516495,H. Thompson|H.N. Thompson
968,"Reeve, H.","collector.Reeve, H.",733,"collector:""Reeve, H.""",1942.0,1992.0,50.0,414,"Reeve, H.","Reeve, H.",0.0,2,http://www.wikidata.org/entity/Q18671457|http://www.wikidata.org/entity/Q47125070,Henry Reeve|Helen Reeve
152,"Morrison, A.","collector.Morrison, A.",6845,"collector:""Morrison, A.""",1829.0,2010.0,181.0,570,"Morrison, A.","Morrison, A.",0.0,3,http://www.wikidata.org/entity/Q2642700|http://www.wikidata.org/entity/Q47122988|http://www.wikidata.org/entity/Q88808700,Alexander Morrison|A.W. Morrison|A. Morrison
414,"Robinson, A.","collector.Robinson, A.",924,"collector:""Robinson, A.""",1931.0,2009.0,78.0,776,"Robinson, A.","Robinson, A.",0.0,3,http://www.wikidata.org/entity/Q261718|http://www.wikidata.org/entity/Q5686033|http://www.wikidata.org/entity/Q47125205,Alastair Robinson|Anthony Robinson|A.F. Robinson
615,"Hunter, J.","collector.Hunter, J.",1396,"collector:""Hunter, J.""",1921.0,2006.0,85.0,453,"Hunter, J.","Hunter, J.",0.0,3,http://www.wikidata.org/entity/Q505981|http://www.wikidata.org/entity/Q6284135|http://www.wikidata.org/entity/Q47119245,John Hunter|Joseph Hunter|Joan Hunter
766,"Taylor, J.M.","collector.Taylor, J.M.",1033,"collector:""Taylor, J.M.""",1972.0,1991.0,19.0,957,"Taylor, J.M.","Taylor, J.M.",0.0,3,http://www.wikidata.org/entity/Q21928671|http://www.wikidata.org/entity/Q20752361|http://www.wikidata.org/entity/Q29157584,Joan M. Taylor|J. Mary Taylor|Justin M. Taylor
