,label,i18nCode,count,fq,start_date,end_date,activity_span
50,"Wilson, P.G.","collector.Wilson, P.G.",13225,"collector:""Wilson, P.G.""",1927,2018,91
51,"Latz, P.K.","collector.Latz, P.K.",13146,"collector:""Latz, P.K.""",1967,2016,49
52,"Bates, R.","collector.Bates, R.",13124,"collector:""Bates, R.""",1912,2014,102
53,"Thompson, E.J.","collector.Thompson, E.J.",13025,"collector:""Thompson, E.J.""",1969,2017,48
54,"Crawford, I.","collector.Crawford, I.",12816,"collector:""Crawford, I.""",1900,2019,119
55,"Stajsic, V.","collector.Stajsic, V.",12813,"collector:""Stajsic, V.""",1900,2020,120
56,"Badman, F.J.","collector.Badman, F.J.",12684,"collector:""Badman, F.J.""",1943,2009,66
57,"Maiden, J.H.","collector.Maiden, J.H.",12611,"collector:""Maiden, J.H.""",1807,2008,201
58,"Boorman, J.L.","collector.Boorman, J.L.",12416,"collector:""Boorman, J.L.""",1856,1992,136
59,"Filson, R.B.","collector.Filson, R.B.",12302,"collector:""Filson, R.B.""",1933,2000,67
60,"Craven, L.A.","collector.Craven, L.A.",12286,"collector:""Craven, L.A.""",1954,2014,60
61,"Johnson, L.A.S.","collector.Johnson, L.A.S.",12249,"collector:""Johnson, L.A.S.""",1906,1998,92
62,"Kenneally, K.F.","collector.Kenneally, K.F.",12190,"collector:""Kenneally, K.F.""",1878,2008,130
63,"Weber, J.Z.","collector.Weber, J.Z.",12133,"collector:""Weber, J.Z.""",1874,2009,135
64,"Royce, R.D.","collector.Royce, R.D.",12035,"collector:""Royce, R.D.""",1860,2000,140
65,"Donner, N.N.","collector.Donner, N.N.",12031,"collector:""Donner, N.N.""",1885,1997,112
66,"Brennan, K.","collector.Brennan, K.",11842,"collector:""Brennan, K.""",1967,2020,53
67,"Pullen, R.","collector.Pullen, R.",11709,"collector:""Pullen, R.""",1933,1999,66
68,"Moore, C.W.E.","collector.Moore, C.W.E.",11696,"collector:""Moore, C.W.E.""",1935,1998,63
69,"Whibley, D.J.E.","collector.Whibley, D.J.E.",11564,"collector:""Whibley, D.J.E.""",1907,1998,91
70,"Webb, L.J.","collector.Webb, L.J.",11153,"collector:""Webb, L.J.""",1931,1994,63
71,"Jobson, P.C.","collector.Jobson, P.C.",11106,"collector:""Jobson, P.C.""",1969,2017,48
72,"Walsh, N.G.","collector.Walsh, N.G.",11057,"collector:""Walsh, N.G.""",1894,2020,126
73,"Maslin, B.R.","collector.Maslin, B.R.",10950,"collector:""Maslin, B.R.""",1910,2013,103
74,"Mitchell, A.A.","collector.Mitchell, A.A.",10906,"collector:""Mitchell, A.A.""",1905,2017,112
75,"Newbey, K.R.","collector.Newbey, K.R.",10860,"collector:""Newbey, K.R.""",1931,1995,64
76,"Burbidge, N.T.","collector.Burbidge, N.T.",10712,"collector:""Burbidge, N.T.""",1891,1995,104
77,"Alcock, C.R.","collector.Alcock, C.R.",10542,"collector:""Alcock, C.R.""",1922,2011,89
78,"Dunlop, C.","collector.Dunlop, C.",10539,"collector:""Dunlop, C.""",1908,2003,95
79,"Briggs, B.G.","collector.Briggs, B.G.",10428,"collector:""Briggs, B.G.""",1939,2019,80
80,"Orchard, A.E.","collector.Orchard, A.E.",10356,"collector:""Orchard, A.E.""",1938,2017,79
81,"Albrecht, D.E.","collector.Albrecht, D.E.",10266,"collector:""Albrecht, D.E.""",1900,2019,119
