family_name,initials,given_names,name,num_det
Howell,G.J.,NULL,"Howell, G.J.",91
Pritchard,A.,NULL,"Pritchard, A.",91
Stanley,T.,NULL,"Stanley, T.",91
Rees,"H. van",NULL,"Rees, H. van",90
Cunningham,G.H.,NULL,"Cunningham, G.H.",90
Hopper,S.J.,NULL,"Hopper, S.J.",90
Aston,H.,NULL,"Aston, H.",90
Ellis,L.T.,NULL,"Ellis, L.T.",90
Freestone,M.,Marc,"Freestone, M.",90
Francis,R.D.,NULL,"Francis, R.D.",90
Hedderson,T.A.J.,NULL,"Hedderson, T.A.J.",90
Lewinsky,J.,NULL,"Lewinsky, J.",89
Mallinson,D.J.,NULL,"Mallinson, D.J.",89
Dunlop,C.,NULL,"Dunlop, C.",89
Hafellner,J.,Josef,"Hafellner, J.",89
Berkeley,M.J.,NULL,"Berkeley, M.J.",88
Molyneux,W.M.,Bill,"Molyneux, W.M.",87
Foreman,P.,Paul,"Foreman, P.",87
Lee,A.T.,NULL,"Lee, A.T.",87
Salkin,A.,NULL,"Salkin, A.",87
Bratt,G.C.,NULL,"Bratt, G.C.",86
Fryxell,P.,NULL,"Fryxell, P.",86
Chesterfield,E.A.,Evan,"Chesterfield, E.A.",86
Bell,G.H.,Graham,"Bell, G.H.",85
Mayfield,E.V.,Enid,"Mayfield, E.V.",85
Alfaro,D.,Doris,"Alfaro, D.",85
Hnatiuk,R.J.,"Roger James","Hnatiuk, R.J.",85
Linde,C.C.,Celeste,"Linde, C.C.",84
Bennett,E.,NULL,"Bennett, E.",84
Schelpe,E.A.C.L.E.,NULL,"Schelpe, E.A.C.L.E.",84
Morris,D.I.,NULL,"Morris, D.I.",84
Scarlett,C.,NULL,"Scarlett, C.",84
Batianoff,G.N.,NULL,"Batianoff, G.N.",84
Womersley,J.S.,"John Spencer","Womersley, J.S.",83
Haegi,L.A.R.,Laurence,"Haegi, L.A.R.",83
Moore,L.B.,NULL,"Moore, L.B.",83
French,M.E.,NULL,"French, M.E.",83
Crisp,M.,NULL,"Crisp, M.",83
Sluiter,I.R.K.,Ian,"Sluiter, I.R.K.",82
Liesner,R.,Ronald,"Liesner, R.",82
Ladiges,P.Y.,NULL,"Ladiges, P.Y.",82
Mastracci,M.,NULL,"Mastracci, M.",82
Kemp,B.,NULL,"Kemp, B.",81
Lepp,H.,Heino,"Lepp, H.",81
Powrie,E.,NULL,"Powrie, E.",81
Thies,A.,NULL,"Thies, A.",81
Esser,H-J.,NULL,"Esser, H-J.",80
Ahrens,C.W.,Collin,"Ahrens, C.W.",80
Barlow,B.,NULL,"Barlow, B.",80
Grolle,R.,NULL,"Grolle, R.",80
Huisman,J.M.,NULL,"Huisman, J.M.",79
Hedenaes,L.,NULL,"Hedenaes, L.",79
Gross,C.L.,Caroline,"Gross, C.L.",79
Pollock,A.B.,NULL,"Pollock, A.B.",79
Kuekenthal,G.,NULL,"Kuekenthal, G.",79
Cayzer,L.W.,NULL,"Cayzer, L.W.",79
Paull,M.F.,Martine,"Paull, M.F.",78
Dressler,S.,Stefan,"Dressler, S.",78
Weston,P.,NULL,"Weston, P.",78
Aldasoro,J.J.,NULL,"Aldasoro, J.J.",77
Mason,R.,NULL,"Mason, R.",77
Song,W.,NULL,"Song, W.",77
Juswara,L.S.,NULL,"Juswara, L.S.",76
Holland,A.,Ailsa,"Holland, A.",76
McArdle,A.T.,Aaron,"McArdle, A.T.",76
Young,A.M.,NULL,"Young, A.M.",76
Poppendieck,H.H.,NULL,"Poppendieck, H.H.",75
Murfet,D.E.,NULL,"Murfet, D.E.",75
Krukoff,B.A.,"Boris Alexander","Krukoff, B.A.",74
Yao,K.,NULL,"Yao, K.",74
Isaac,G.,NULL,"Isaac, G.",74
Lee,H.M.,NULL,"Lee, H.M.",74
Schuster,T.M.,"Tanja Magdelena","Schuster, T.M.",74
Breteler,F.J.,NULL,"Breteler, F.J.",74
Kitaura,M.J.,"Marcos Junji","Kitaura, M.J.",74
LeBreton,C.,NULL,"LeBreton, C.",73
Stewart,G.,NULL,"Stewart, G.",73
Knoblauch,F.,NULL,"Knoblauch, F.",72
Luteyn,J.L.,NULL,"Luteyn, J.L.",72
Brummitt,R.K.,NULL,"Brummitt, R.K.",72
Adair,R.J.,NULL,"Adair, R.J.",72
Savicz,V.P.,NULL,"Savicz, V.P.",72
Noguchi,A.,NULL,"Noguchi, A.",72
Westaway,J.,NULL,"Westaway, J.",72
Smit,P.G.,NULL,"Smit, P.G.",71
Nielsen,I.C.,"Ivan Christian","Nielsen, I.C.",71
Bohlin,B.,Birger,"Bohlin, B.",70
Diels,NULL,NULL,Diels,70
Anderson,F.M.,Fleur,"Anderson, F.M.",70
Hiepko,P.,NULL,"Hiepko, P.",70
Tortosa,R.,NULL,"Tortosa, R.",70
Boland,D.J.,NULL,"Boland, D.J.",69
Sykes,W.R.,NULL,"Sykes, W.R.",69
Ratkowsky,D.A.,David,"Ratkowsky, D.A.",69
Mayrhofer,H.,Helmut,"Mayrhofer, H.",69
Smith,L.S.,"Lindsay Stewart","Smith, L.S.",69
Gillison,A.N.,NULL,"Gillison, A.N.",69
Rommelaar,H.,Helen,"Rommelaar, H.",69
Beesley,P.,NULL,"Beesley, P.",69
Weber,W.A.,William,"Weber, W.A.",68
Chapman,A.R.,Alex,"Chapman, A.R.",68
Lyne,A.,NULL,"Lyne, A.",68
Mills,R.M.,NULL,"Mills, R.M.",67
Gordon,E.M.,NULL,"Gordon, E.M.",67
Meijden,"R. van der",NULL,"Meijden, R. van der",67
Taylor,B.W.,NULL,"Taylor, B.W.",67
Henderson,M.D.,NULL,"Henderson, M.D.",67
Rankin,M.O.,NULL,"Rankin, M.O.",66
Yugovic,J.,Jeff,"Yugovic, J.",66
"Van den Hoek",C.,NULL,"Van den Hoek, C.",66
King,R.J.,NULL,"King, R.J.",66
Burgess,C.,NULL,"Burgess, C.",66
Curnow,J.A.,NULL,"Curnow, J.A.",66
Argent,G.C.G.,NULL,"Argent, G.C.G.",65
Tibell,L.,Leif,"Tibell, L.",65
Alcock,C.R.,NULL,"Alcock, C.R.",65
Lightowlers,P.J.,NULL,"Lightowlers, P.J.",65
Paton,A.J.,Alan,"Paton, A.J.",65
Tan,B.C.,NULL,"Tan, B.C.",65
Smith,R.M.,NULL,"Smith, R.M.",65
Balgooy,"M.M.J. van",NULL,"Balgooy, M.M.J. van",65
Prescott,A.,NULL,"Prescott, A.",65
Harley,R.M.,NULL,"Harley, R.M.",64
Steenis,"C.G.G.J. van",NULL,"Steenis, C.G.G.J. van",64
Cayzer,L.,NULL,"Cayzer, L.",64
Johansson,J.T.,NULL,"Johansson, J.T.",64
Wilson,Paul,NULL,"Wilson, Paul",64
Drummond,T.,Thomas,"Drummond, T.",64
Starr,J.R.,NULL,"Starr, J.R.",63
Nakasone,K.K.,Karen,"Nakasone, K.K.",63
Gilmour,P.,NULL,"Gilmour, P.",63
Pusswald,W.,NULL,"Pusswald, W.",63
Söderbom,K.G.,NULL,"Söderbom, K.G.",63
Meinderts,M.,NULL,"Meinderts, M.",63
Crayn,D.M.,Darren,"Crayn, D.M.",62
"Van der Maesen",L.J.G.,NULL,"Van der Maesen, L.J.G.",62
Burns,A.,NULL,"Burns, A.",62
Dreier,K.M.,NULL,"Dreier, K.M.",62
Barker,C.H.,NULL,"Barker, C.H.",62
Yee,N.R.,Nick,"Yee, N.R.",62
Budel,B.,NULL,"Budel, B.",62
Ward,J.E.,NULL,"Ward, J.E.",62
Ariati,S.R.,Sita,"Ariati, S.R.",62
Wiecek,B.,NULL,"Wiecek, B.",61
Warncke,E.,NULL,"Warncke, E.",61
Walker,J.,NULL,"Walker, J.",61
Gunn,B.F.,Bee,"Gunn, B.F.",61
Turner,J.D.,NULL,"Turner, J.D.",61
Johnson,L.,NULL,"Johnson, L.",61
Keener,B.R.,Brian,"Keener, B.R.",60
Norden,B.,Bjorn,"Norden, B.",60
Bastow,R.A.,NULL,"Bastow, R.A.",60
Symon,D.,NULL,"Symon, D.",60
Seberg,O.,NULL,"Seberg, O.",60
Cribb,A.B.,NULL,"Cribb, A.B.",60
Perkins,E.E.,NULL,"Perkins, E.E.",60
Catcheside,P.S.,Pam,"Catcheside, P.S.",60
Erickson,R.,Rica,"Erickson, R.",59
Raven,P.H.,Peter,"Raven, P.H.",59
Price,I.R.,NULL,"Price, I.R.",59
Turner,J.R.,NULL,"Turner, J.R.",59
James,P.W.,NULL,"James, P.W.",59
Schultz,M.,Matthias,"Schultz, M.",59
Gibson,N.,Neil,"Gibson, N.",59
Horton,D.G.,Diana,"Horton, D.G.",59
Beaton,G.,NULL,"Beaton, G.",59
Hill,K.,NULL,"Hill, K.",59
Booth,R.,NULL,"Booth, R.",58
Wit,"H.C.D. de",NULL,"Wit, H.C.D. de",58
Smith,G.G.,NULL,"Smith, G.G.",58
Gebauer,NULL,NULL,Gebauer,58
Sirisena,U.,Udani,"Sirisena, U.",58
Triest,L.,NULL,"Triest, L.",58
Rangan,H.,Priya,"Rangan, H.",58
Hunter,J.T.,NULL,"Hunter, J.T.",58
Calder,J.A.,NULL,"Calder, J.A.",58
Robertson,E.L.,Enid,"Robertson, E.L.",58
Williams,L.D.,NULL,"Williams, L.D.",58
Hoffman,P.,Petra,"Hoffman, P.",57
Opie,A.M.,Anne,"Opie, A.M.",57
Baker,W.J.,NULL,"Baker, W.J.",57
Jeffrey,C.,NULL,"Jeffrey, C.",56
Wheeler,L.,Lesley,"Wheeler, L.",56
Grimshaw,P.G.,NULL,"Grimshaw, P.G.",56
Thiers,B.M.,Barbara,"Thiers, B.M.",56
Clarke,G.C.S.,NULL,"Clarke, G.C.S.",56
Wilhalm,T.,Thomas,"Wilhalm, T.",56
Hall,N.,NULL,"Hall, N.",56
Ashburner,W.L.,NULL,"Ashburner, W.L.",55
Thiv,M.,Mike,"Thiv, M.",55
Silva,P.C.,NULL,"Silva, P.C.",55
Thiele,K.,Kevin,"Thiele, K.",55
Fox,J.M.,NULL,"Fox, J.M.",55
Santesson,R.,NULL,"Santesson, R.",54
Starmühler,W.,NULL,"Starmühler, W.",54
Cochrane,A.C.,Alexander,"Cochrane, A.C.",54
Forster,P.,NULL,"Forster, P.",54
Sammy,N.,NULL,"Sammy, N.",53
Sutton,M.E.,NULL,"Sutton, M.E.",53
Christensen,T.J.,NULL,"Christensen, T.J.",53
Soepadmo,E.,Engkik,"Soepadmo, E.",53
Cunningham,D.,NULL,"Cunningham, D.",53
Morris,P.F.,NULL,"Morris, P.F.",53
Cranfill,R.,NULL,"Cranfill, R.",53
Harvey,C.F.,NULL,"Harvey, C.F.",52
Wilson,A.W.,Andy,"Wilson, A.W.",52
Beasley,C.,NULL,"Beasley, C.",52
Hodgson,E.A.,NULL,"Hodgson, E.A.",52
Smith,Z.,Zöe,"Smith, Z.",52
Entwisle,T.,NULL,"Entwisle, T.",52
Degelius,G.,NULL,"Degelius, G.",51
Johansen,H.W.,NULL,"Johansen, H.W.",51
Enroth,J.,Johannes,"Enroth, J.",51
Shaw,J.,NULL,"Shaw, J.",51
"Van den Borre",A.,NULL,"Van den Borre, A.",51
Jones,R.H.,NULL,"Jones, R.H.",51
Harvey,A.S.,Adele,"Harvey, A.S.",50
Garden,J.,NULL,"Garden, J.",50
Trelfall,S.M.,NULL,"Trelfall, S.M.",50
Cody,W.J.,NULL,"Cody, W.J.",50
Stephens,K.,NULL,"Stephens, K.",50
Staiger,B.,NULL,"Staiger, B.",50
Yatsyna,A.P.,Alexander,"Yatsyna, A.P.",50
Anderson,B.M.,NULL,"Anderson, B.M.",50
Nelson,D.J.,NULL,"Nelson, D.J.",50
Saito,Y.,NULL,"Saito, Y.",49
Haynes,R.R.,NULL,"Haynes, R.R.",49
Collins,B.,NULL,"Collins, B.",49
Harvey,W.H.,"William Henry","Harvey, W.H.",49
Ham,"R.W.J.M. van der",NULL,"Ham, R.W.J.M. van der",49
Trudgen,M.,NULL,"Trudgen, M.",49
Earl,G.E.,NULL,"Earl, G.E.",49
Zhenghong,Yang,NULL,"Zhenghong, Yang",48
Copley,P.B.,NULL,"Copley, P.B.",48
Anderson,C.,NULL,"Anderson, C.",48
Whitbread,G.H.,NULL,"Whitbread, G.H.",48
Tadgell,A.J.,NULL,"Tadgell, A.J.",48
McCune,S.F.,NULL,"McCune, S.F.",48
Venning,J.,NULL,"Venning, J.",48
Phillips,M.E.,NULL,"Phillips, M.E.",47
Marais,E.M.,NULL,"Marais, E.M.",47
Lapinpuro,L.,NULL,"Lapinpuro, L.",47
Perry,R.A.,NULL,"Perry, R.A.",47
Mueller,F.M.,NULL,"Mueller, F.M.",47
Jansen,P.,NULL,"Jansen, P.",47
Papp,C.,NULL,"Papp, C.",47
Dorr,L.J.,Laurence,"Dorr, L.J.",46
Mols,J.B.,NULL,"Mols, J.B.",46
Jordaan,M.,Marie,"Jordaan, M.",46
Davies,F.,NULL,"Davies, F.",46
Baker,M.L.,Matthew,"Baker, M.L.",46
Wilson,K.,NULL,"Wilson, K.",46
Beckmann,K.G.,Karen,"Beckmann, K.G.",45
Lamb,I.M.,NULL,"Lamb, I.M.",45
Cumming,R.,NULL,"Cumming, R.",45
Petersen,R.H.,NULL,"Petersen, R.H.",45
Dixon,H.N.,NULL,"Dixon, H.N.",45
Menadue,Y.,NULL,"Menadue, Y.",45
Wanntorp,L.,Livia,"Wanntorp, L.",45
Fox,I.D.,Ian,"Fox, I.D.",45
Mazine,F.F.,Fiorella,"Mazine, F.F.",45
Downing,A.J.,Alison,"Downing, A.J.",44
Kelley,S.,NULL,"Kelley, S.",44
James,T.,NULL,"James, T.",44
Lewis,G.,NULL,"Lewis, G.",44
Corrick,M.,NULL,"Corrick, M.",44
Smyth,H.T.,NULL,"Smyth, H.T.",44
Ryvarden,L.,NULL,"Ryvarden, L.",44
Mengcheng,J.,NULL,"Mengcheng, J.",44
Ahti,T.,NULL,"Ahti, T.",44
Rees,B.J.,Bettye,"Rees, B.J.",44
Quirk,H.,NULL,"Quirk, H.",43
Stuppy,W.,NULL,"Stuppy, W.",43
Gideon,O.G.,Osia,"Gideon, O.G.",43
Suleiman,M.,NULL,"Suleiman, M.",43
"Van Rees",H.,NULL,"Van Rees, H.",43
Pike,D.C.,NULL,"Pike, D.C.",43
"St John",P.R.H.,NULL,"St John, P.R.H.",43
Meijer,W.,Willem,"Meijer, W.",43
Eichler,J.G.,John,"Eichler, J.G.",43
Gauba,E.,NULL,"Gauba, E.",43
Archer,W.R.,"William Richard","Archer, W.R.",43
Parr-Smith,G.A.,NULL,"Parr-Smith, G.A.",43
Cranfield,R.,NULL,"Cranfield, R.",43
Parker,S.A.,NULL,"Parker, S.A.",43
Crum,H.A.,NULL,"Crum, H.A.",43
Nash,T.H.,NULL,"Nash, T.H.",42
Davis,R.W.,Rob,"Davis, R.W.",42
Martius,C.F.P.,NULL,"Martius, C.F.P.",42
Opie,A.,NULL,"Opie, A.",42
Markey,A.S.,Adrienne,"Markey, A.S.",42
Beever,J.E.,Jessica,"Beever, J.E.",42
Hartland,R.,NULL,"Hartland, R.",42
Edmonds,J.M.,Jennifer,"Edmonds, J.M.",41
Heafield,T.A.,Travis,"Heafield, T.A.",41
Marriott,N.R.,NULL,"Marriott, N.R.",41
Ewan,J.A.,Joseph,"Ewan, J.A.",41
Zich,F.A.,Frank,"Zich, F.A.",41
Wang,J.,Jian,"Wang, J.",41
Wilson,F.D.,NULL,"Wilson, F.D.",41
Rozefelds,A.C.,NULL,"Rozefelds, A.C.",41
Hennings,P.,NULL,"Hennings, P.",41
Gordon,D.M.,NULL,"Gordon, D.M.",41
Harada,K.,Kunigi,"Harada, K.",41
Hartmann,H.,NULL,"Hartmann, H.",41
Agardh,J.G.,NULL,"Agardh, J.G.",41
Iwatsuki,Z.,NULL,"Iwatsuki, Z.",41
Holmes,G.D.,Gareth,"Holmes, G.D.",41
Kosky,W.,Bill,"Kosky, W.",40
Dai,Y.C.,Yu-Cheng,"Dai, Y.C.",40
Simmons,D.,Dianne,"Simmons, D.",40
Taws,N.,NULL,"Taws, N.",40
Curtis,W.M.,NULL,"Curtis, W.M.",40
Dietrich,W.,NULL,"Dietrich, W.",40
Timana,M.E.,NULL,"Timana, M.E.",40
"Messina, A., Stajsic, V. ",NULL,NULL,"Messina, A., Stajsic, V. ",40
Phillips,G.P.,NULL,"Phillips, G.P.",40
Landrum,L.R.,Leslie,"Landrum, L.R.",39
Hallam,N.D.,NULL,"Hallam, N.D.",39
Kruif,"A.P.M. de",NULL,"Kruif, A.P.M. de",39
Samson,J.,NULL,"Samson, J.",39
Bester,S.P.,Pieter,"Bester, S.P.",39
Knight,P.J.,Peter,"Knight, P.J.",39
Allen,B.H.,Bruce,"Allen, B.H.",39
Hamlin,B.G.,NULL,"Hamlin, B.G.",39
Spence,J.,NULL,"Spence, J.",39
Thompson,J.,Joy,"Thompson, J.",39
Nicholas,A.,Ashley,"Nicholas, A.",39
Kok,"R. de.",NULL,"Kok, R. de.",39
Brooker,I.,NULL,"Brooker, I.",39
Haussknecht,H.C.,"Heinrich Carl","Haussknecht, H.C.",39
Downey,P.O.,NULL,"Downey, P.O.",39
Stephens,K.M.,NULL,"Stephens, K.M.",39
Jeans,J.,NULL,"Jeans, J.",39
McCarthy,P.,NULL,"McCarthy, P.",39
Schmidt-Lebuhn,A.N.,Alexander,"Schmidt-Lebuhn, A.N.",38
Louden,M.A.,NULL,"Louden, M.A.",38
Endress,P.,NULL,"Endress, P.",38
Nelmes,E.,NULL,"Nelmes, E.",38
Cossalter,C.,NULL,"Cossalter, C.",38
Muir,E.T.,Eric,"Muir, E.T.",38
Orel,H.K.,Harvey,"Orel, H.K.",38
Day,S.,NULL,"Day, S.",38
Moore,D.J.,NULL,"Moore, D.J.",38
Turner,V.B.,NULL,"Turner, V.B.",38
Grimes,J.,NULL,"Grimes, J.",37
Baylis,G.T.S.,NULL,"Baylis, G.T.S.",37
Vihodtsevski,N.,NULL,"Vihodtsevski, N.",37
Schulz,D.L.,NULL,"Schulz, D.L.",37
Marchant,N.,Neville,"Marchant, N.",37
Wilson,J.B.,"John Bracebridge ","Wilson, J.B.",37
Sellwood,M.,Mark,"Sellwood, M.",37
Jansen,R.K.,NULL,"Jansen, R.K.",37
Collins,T.L.,Tim,"Collins, T.L.",37
Roberts,P.J.,NULL,"Roberts, P.J.",37
Pearce,R.D.,NULL,"Pearce, R.D.",37
Ryan,B.,NULL,"Ryan, B.",37
Brown,A.H.D.,NULL,"Brown, A.H.D.",37
Yakovlev,G.P.,NULL,"Yakovlev, G.P.",37
Watson,L.,NULL,"Watson, L.",37
Herrmann-Erlee,M.P.M.,NULL,"Herrmann-Erlee, M.P.M.",37
Mant,J.G.,NULL,"Mant, J.G.",37
Smith,D.H.,NULL,"Smith, D.H.",36
Saarela,J.M.,Jeff,"Saarela, J.M.",36
Bell,"K. L.",NULL,"Bell, K. L.",36
Lewis,J.A.,NULL,"Lewis, J.A.",36
Turner,J.R.,James,"Turner, J.R.",36
"De Frappell",NULL,NULL,"De Frappell",36
Browne,J.H.,NULL,"Browne, J.H.",36
Soza,V.,NULL,"Soza, V.",36
Hyland,B.,NULL,"Hyland, B.",36
Mueck,S.,NULL,"Mueck, S.",36
Hassney,S.S.,"Syeda Saleha","Hassney, S.S.",36
Ramamoorthy,T.P.,NULL,"Ramamoorthy, T.P.",35
Jancy,R.C.,NULL,"Jancy, R.C.",35
Rossiter,N.T.,NULL,"Rossiter, N.T.",35
Scott,S.M.,Steve,"Scott, S.M.",35
Thomson,J.W.,NULL,"Thomson, J.W.",35
Edyvane,K.,NULL,"Edyvane, K.",35
Connors,J.R.,NULL,"Connors, J.R.",35
Karlin,E.F.,Eric,"Karlin, E.F.",35
Douglas,A.W.,NULL,"Douglas, A.W.",35
Mathews,P.,NULL,"Mathews, P.",34
Kramer,W.,NULL,"Kramer, W.",34
Lewis,G.P.,"Gwilym Peter","Lewis, G.P.",34
Hind,P.D.,NULL,"Hind, P.D.",34
Kok,"R. de",Rogier,"Kok, R. de",34
Taws,N.M.,NULL,"Taws, N.M.",34
Betche,E.,Ernst,"Betche, E.",34
Vital,D.M.,Daniel,"Vital, D.M.",34
"Maas Geesteranus",R.A.,NULL,"Maas Geesteranus, R.A.",34
Marsden,C.R.,NULL,"Marsden, C.R.",34
Hansen,C.,NULL,"Hansen, C.",34
Cano,M.J.,NULL,"Cano, M.J.",34
Leonard,P.,NULL,"Leonard, P.",34
Stuwe,J.,NULL,"Stuwe, J.",34
Vezda,A.,NULL,"Vezda, A.",34
Dinsmore,J.E.,NULL,"Dinsmore, J.E.",34
Sinnott,N.H.,Nigel,"Sinnott, N.H.",34
"Garnock Jones",P.J.,NULL,"Garnock Jones, P.J.",34
Guard,F.E.,Fran,"Guard, F.E.",34
Clowes,C.,Catherine,"Clowes, C.",33
Nooteboom,H.P.,NULL,"Nooteboom, H.P.",33
Stephani,F.,NULL,"Stephani, F.",33
Fife,A.J.,Allan,"Fife, A.J.",33
Knaap,M.S.,NULL,"Knaap, M.S.",33
Neldner,V.J.,NULL,"Neldner, V.J.",33
Watts,W.W.,NULL,"Watts, W.W.",33
Taylor,J.,NULL,"Taylor, J.",33
Shivas,R.G.,Roger,"Shivas, R.G.",33
Breitung,A.J.,NULL,"Breitung, A.J.",33
Baker,J.,NULL,"Baker, J.",32
Herbertsson,L.,Lina,"Herbertsson, L.",32
Zenghong,Y.,Yang,"Zenghong, Y.",32
Spencer,R.,NULL,"Spencer, R.",32
Byrnes,N.B.,NULL,"Byrnes, N.B.",32
Fuhrer,B.A.,Bruce,"Fuhrer, B.A.",32
Crowden,R.K.,NULL,"Crowden, R.K.",32
Valeton,T.,NULL,"Valeton, T.",32
Carrick,J.,John,"Carrick, J.",32
Sosef,M.S.M.,NULL,"Sosef, M.S.M.",32
Stephenson,S.L.,Steven,"Stephenson, S.L.",31
Farjon,A.,NULL,"Farjon, A.",31
Geiger,D.L.,Daniel,"Geiger, D.L.",31
Ormerod,P.A.,Paul,"Ormerod, P.A.",31
Bedford,D.J.,NULL,"Bedford, D.J.",31
Waterhouse,J.T.,NULL,"Waterhouse, J.T.",31
Choi,M.,NULL,"Choi, M.",31
Mori,S.A.,NULL,"Mori, S.A.",31
Hedderson,T.A.,NULL,"Hedderson, T.A.",31
Wedin,M.,NULL,"Wedin, M.",31
Demoulin,V.,NULL,"Demoulin, V.",31
White,C.T.,NULL,"White, C.T.",31
Hale,M.,NULL,"Hale, M.",30
Ford,A.,Andrew,"Ford, A.",30
Oliver,W.R.B.,NULL,"Oliver, W.R.B.",30
Bornmueller,J.F.N.,"Joseph Friedrich Nicolaus","Bornmueller, J.F.N.",30
Chaowasku,T.,Tanawat,"Chaowasku, T.",30
Quirico,A.-L.,NULL,"Quirico, A.-L.",30
Gibbs,P.E.,NULL,"Gibbs, P.E.",30
Rezende,"D.H.C. de",Diogo,"Rezende, D.H.C. de",30
Brown,E.W.,NULL,"Brown, E.W.",30
Paterson,B.R.,NULL,"Paterson, B.R.",30
Porteners,M.F.,NULL,"Porteners, M.F.",30
Wilbur,R.L.,NULL,"Wilbur, R.L.",30
Allender,M.J.,Marie,"Allender, M.J.",30
McDonald,"K.R. (1)",NULL,"McDonald, K.R. (1)",30
"Henssen. A.",NULL,NULL,"Henssen. A.",30
Baker,E.G.,NULL,"Baker, E.G.",30
Kuo,J.,NULL,"Kuo, J.",29
Winsbury,M.J.,NULL,"Winsbury, M.J.",29
Nordstedt,C.F.O.,Carl,"Nordstedt, C.F.O.",29
Grgurinovic,C.A.,NULL,"Grgurinovic, C.A.",29
George,P.S.,Paul,"George, P.S.",29
Sipman,H.,NULL,"Sipman, H.",29
"Senerpont Domis","L.N. de",Lisette,"Senerpont Domis, L.N. de",29
Philipson,W.R.,NULL,"Philipson, W.R.",29
Cherry,W.,NULL,"Cherry, W.",29
DArnay,E.,NULL,"DArnay, E.",29
Walker,G.I.,Gidja,"Walker, G.I.",29
Etman,B.,NULL,"Etman, B.",29
Clifford,H.T.,NULL,"Clifford, H.T.",29
Wilson,T.C.,Trevor,"Wilson, T.C.",29
Hay,A.,NULL,"Hay, A.",29
Streimann,H.S.,NULL,"Streimann, H.S.",28
Kukenthal,G.,NULL,"Kukenthal, G.",28
Gullan,P.,NULL,"Gullan, P.",28
Wright,S.,NULL,"Wright, S.",28
Chinnock,R.,NULL,"Chinnock, R.",28
Sharpe,P.R.,NULL,"Sharpe, P.R.",28
Gray,N.E.,NULL,"Gray, N.E.",28
Robson,N.K.B.,NULL,"Robson, N.K.B.",28
Kelbessa,E.,NULL,"Kelbessa, E.",28
Henshall,T.,NULL,"Henshall, T.",28
Gilmore,S.R.,NULL,"Gilmore, S.R.",28
Worboys,W.P.A.,Warren,"Worboys, W.P.A.",28
Royen,"P. van",NULL,"Royen, P. van",28
Bollendorff,S.M.,NULL,"Bollendorff, S.M.",28
Allender,B.M.,NULL,"Allender, B.M.",27
Soreng,R.J.,Robert,"Soreng, R.J.",27
Vos,"M.P. de",NULL,"Vos, M.P. de",27
Walker,F.J.,NULL,"Walker, F.J.",27
Cheers,G.,NULL,"Cheers, G.",27
Verdoorn,Fr.,NULL,"Verdoorn, Fr.",27
Piggin,C.M.,NULL,"Piggin, C.M.",27
Staples,G.,NULL,"Staples, G.",27
Lindale,M.,NULL,"Lindale, M.",27
Matzer,M.,NULL,"Matzer, M.",27
Ocampo,G.,NULL,"Ocampo, G.",27
Diederich,P.,NULL,"Diederich, P.",27
Baldock,R.N.,NULL,"Baldock, R.N.",27
Lee,R.D.,NULL,"Lee, R.D.",27
Starmühler,W.,NULL,"Starmühler, W.",26
Pursell,R.A.,Ronald,"Pursell, R.A.",26
Gierl,C.,Claudia,"Gierl, C.",26
Harris,W.,NULL,"Harris, W.",26
Bernardi,A.L.,"Allesandro Luciano","Bernardi, A.L.",26
Kern,J.H.,NULL,"Kern, J.H.",26
Slik,F.,Ferry,"Slik, F.",26
Ambolt,N.,NULL,"Ambolt, N.",26
Shepherd,R.C.H.,NULL,"Shepherd, R.C.H.",26
Asahina,Y.,NULL,"Asahina, Y.",26
Dennis,J.,NULL,"Dennis, J.",26
Endress,P.K.,NULL,"Endress, P.K.",26
"Griffin III",D.,NULL,"Griffin III, D.",26
Pegler,D.N.,NULL,"Pegler, D.N.",26
Ramsay,H.,Helen,"Ramsay, H.",26
Patterson,G.K.,Graham,"Patterson, G.K.",26
Jabbour,F.,Florian,"Jabbour, F.",26
Fryxell,P.A.,NULL,"Fryxell, P.A.",26
Douch,J.K.,James,"Douch, J.K.",26
Beardsell,C.,NULL,"Beardsell, C.",26
Price,R.,NULL,"Price, R.",26
Osler,D.,Dylan,"Osler, D.",26
Cooke,M.C.,NULL,"Cooke, M.C.",25
Thwaites,G.H.K.,"George Henry Kendrick","Thwaites, G.H.K.",25
Metti,Y.,Yola,"Metti, Y.",25
Monge-Egea,M.,Marcelo,"Monge-Egea, M.",25
Cavanagh,A.,NULL,"Cavanagh, A.",25
Lowry,"P.P. II",Porter,"Lowry, P.P. II",25
Nobles,M.K.,NULL,"Nobles, M.K.",25
Hawkeswood,T.J.,NULL,"Hawkeswood, T.J.",25
"De Nardi",J.C.,NULL,"De Nardi, J.C.",25
Pescott,E.E.,NULL,"Pescott, E.E.",25
May,T.,NULL,"May, T.",25
Cooper,J.A.,Jerry,"Cooper, J.A.",25
Coveny,R.,NULL,"Coveny, R.",25
Lehnert,M.,Marcus,"Lehnert, M.",25
Verdcourt,B.,NULL,"Verdcourt, B.",25
Macmillan,B.H.,NULL,"Macmillan, B.H.",25
Koster,J.T.,NULL,"Koster, J.T.",25
Black,R.A.,Raleigh,"Black, R.A.",25
Bonito,G.M.,Gregory,"Bonito, G.M.",25
Hnatiuk,R.,NULL,"Hnatiuk, R.",25
