,label,count,start_date,end_date,activity_span,name,matched_name,distance,item_count,items,item_labels
462,"Persieh, W.A.",2129,1877.0,1887.0,10.0,"Persieh, W.A.","Persiel, I.",0.98,1,http://www.wikidata.org/entity/Q36583942,Ingetraud Persiel
437,"Barnsley, B.",2399,1964.0,1999.0,35.0,"Barnsley, B.","Kensley, B.F.",0.98,1,http://www.wikidata.org/entity/Q21341080,Brian Frederick Kensley
133,"Croxford, E.J.",8456,1874.0,2001.0,127.0,"Croxford, E.J.","Ford, E.J.",0.98,1,http://www.wikidata.org/entity/Q36545035,Eugene J. Ford
994,"Menkins, I.L.",687,1998.0,2012.0,14.0,"Menkins, I.L.","Wiggins, I.L.",0.99,1,http://www.wikidata.org/entity/Q1817129,Ira Loren Wiggins
914,"Debenham, C.",794,1896.0,1972.0,76.0,"Debenham, C.","Denham, D.",0.99,1,http://www.wikidata.org/entity/Q1231777,Dixon Denham
902,"Seabrook, J.",807,1937.0,1997.0,60.0,"Seabrook, J.","Seabra, S.G.",0.99,1,http://www.wikidata.org/entity/Q56550780,Sofia G. Seabra
666,"Sikkes, A.J.A.",1253,1970.0,1974.0,4.0,"Sikkes, A.J.A.","Sikkel, P.C.",0.99,1,http://www.wikidata.org/entity/Q29043524,Paul C. Sikkel
562,"Ollerenshaw, P.",1600,1955.0,2018.0,63.0,"Ollerenshaw, P.","Henshaw, S.",0.99,1,http://www.wikidata.org/entity/Q3471145,Samuel Henshaw
485,"Leitch, E.",1959,2007.0,2018.0,11.0,"Leitch, E.","Veitch, J.",0.99,1,http://www.wikidata.org/entity/Q6261901,John Veitch
361,"Paijmans, K.",2973,1967.0,1999.0,32.0,"Paijmans, K.","Hijmans, R.J.",0.99,1,http://www.wikidata.org/entity/Q36663428,Robert J. Hijmans
84,"Badman, F.J.",12684,1943.0,2009.0,66.0,"Badman, F.J.","Stadman, .",0.99,1,http://www.wikidata.org/entity/Q47126657,Stadman
423,"Bratt, G.C.|Bratt, M.H.",841,1963.0,1973.0,10.0,"Bratt, G.C.|Bratt, M.H.","Bratt, C.C.",0.99,2,http://www.wikidata.org/entity/Q88811987|http://www.wikidata.org/entity/Q21339194,Charis C. Bratt|Charis Cobane Bratt
506,"Hammersley, B.G.",1867,1979.0,2003.0,24.0,"Hammersley, B.G.","Hammer, M.",1.0,1,http://www.wikidata.org/entity/Q21337636,Marie Hammer
253,"Demarz, H.",4299,1947.0,1994.0,47.0,"Demarz, H.","Demares, M.",1.0,1,http://www.wikidata.org/entity/Q36623193,M. Demares
318,"Taplin, R.L.",824,1987.0,2016.0,29.0,"Taplin, R.L.","Bolin, R.L.",1.01,1,http://www.wikidata.org/entity/Q7360762,Rolf Ling Bolin
810,"Winterhalder, E.K.",948,1950.0,1999.0,49.0,"Winterhalder, E.K.","Winter, H.",1.01,1,http://www.wikidata.org/entity/Q47128943,Hermann Winter
742,"Mangion, C.",1070,1994.0,2006.0,12.0,"Mangion, C.","Mangin, A.",1.01,1,http://www.wikidata.org/entity/Q20081059,Arthur Mangin
332,"Martensz, P.N.",1735,1953.0,1997.0,44.0,"Martensz, P.N.","Martens, J.",1.01,1,http://www.wikidata.org/entity/Q1691130,Jochen Martens
203,"Neldner, V.J.",5482,1905.0,2018.0,113.0,"Neldner, V.J.","Feldner, O.",1.01,1,http://www.wikidata.org/entity/Q55311376,Otto Feldner
970,"Sparshott, K.M.",731,1993.0,2002.0,9.0,"Sparshott, K.M.","Scott, K.M.",1.02,1,http://www.wikidata.org/entity/Q62026087,Kathleen Marie Scott
801,"Tonkin, J.E.",965,1994.0,2006.0,12.0,"Tonkin, J.E.","Donkin, A.S.",1.02,1,http://www.wikidata.org/entity/Q36501058,Arthur Scott Donkin
