,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
50,1334,Beckler,H.,Herman,2995,1857.0,1933.0,"Beckler, H.","Beckler, H.","Beckler, H.",0.0,1.0,http://www.wikidata.org/entity/Q21033810,Hermann Beckler,Beckler,H.,"Beckler, H.",,1196895,0000 0000 8349 996X,,,,,P005171b,1828.0,1914.0,,
51,10213,Jeanes,J.A.,Jeff,2914,1983.0,2018.0,"Jeanes, J.A.","Jeanes, J.A.","Jeanes, J.A.",0.0,1.0,http://www.wikidata.org/entity/Q21395685,Jeffrey A. Jeanes,Jeanes,J.A.,"Jeanes, J.A.",,,,41963,39451-1,Jeanes,,,,,,
52,19830,Tepper,J.G.O.,,2876,1829.0,1988.0,"Tepper, J.G.O.","Tepper, J.G.O.","Tepper, J.G.O.",0.0,1.0,http://www.wikidata.org/entity/Q2891010,Johann Gottlieb Otto Tepper,Tepper,J.G.O.,"Tepper, J.G.O.",,92102539,0000 0000 6611 3308,7487.0,10515-1,Tepper,,P005954b,1841.0,1923.0,,
53,5344,Dietrich,A.,Amalia,2754,1860.0,1880.0,"Dietrich, A.","Dietrich, A.","Dietrich, A.",0.0,1.0,http://www.wikidata.org/entity/Q76851,Amalie Dietrich,Dietrich,A.,"Dietrich, A.",,77113813,0000 0000 3219 7769,8587.0,,,Q76851,P000366b,1821.0,1891.0,,
55,1148,Bastow,R.A.,,2694,1854.0,1950.0,"Bastow, R.A.","Bastow, R.A.","Bastow, R.A.",0.0,1.0,http://www.wikidata.org/entity/Q7323833,Richard Austin Bastow,Bastow,R.A.,"Bastow, R.A.",,1450150748994516420005,,23972.0,15765-1,Bastow,,P000207b,1839.0,1920.0,,
56,11496,Latz,P.K.,,2605,1967.0,2013.0,"Latz, P.K.","Latz, P.K.","Latz, P.K.",0.0,1.0,http://www.wikidata.org/entity/Q21518413,Peter K. Latz,Latz,P.K.,"Latz, P.K.",,9116331,0000 0000 6384 1764,36654,35446-1,Latz,,,1941.0,,,
57,20964,Walter,C.,Charles,2589,1867.0,1999.0,"Walter, C.","Walter, C.","Walter, C.",0.0,1.0,http://www.wikidata.org/entity/Q17053407,Carl Walter,Walter,C.,"Walter, C.",,91829033,0000 0001 2030 6160,37942,13332-1,C.Walter,,P001520b,1831.0,1907.0,,
73,14765,Nicholls,W.H.,,2267,1921.0,1962.0,"Nicholls, W.H.","Nicholls, W.H.","Nicholls, W.H.",0.0,1.0,http://www.wikidata.org/entity/Q10393700,William Henry Nicholls,Nicholls,W.H.,"Nicholls, W.H.",,92594457,,23849,6958-1,Nicholls,,P000672b,1885.0,1951.0,,
74,3266,Carr,G.W.,Geoff,2262,1924.0,2015.0,"Carr, G.W.","Carr, G.W.","Carr, G.W.",0.0,1.0,http://www.wikidata.org/entity/Q3281577,Geoffrey William Carr,Carr,G.W.,"Carr, G.W.",,,,,13236-1,G.W.Carr,,,1948.0,,,
79,1844,Blake,S.T.,,2108,1917.0,1980.0,"Blake, S.T.","Blake, S.T.","Blake, S.T.",0.0,1.0,http://www.wikidata.org/entity/Q2984580,Stanley Thatcher Blake,Blake,S.T.,"Blake, S.T.",,304022808,0000 0000 6521 9151,13863.0,838-1,S.T.Blake,,P001391b,1910.0,1973.0,,
82,11583,Lazarides,M.,Mike,2012,1938.0,1988.0,"Lazarides, M.","Lazarides, M.","Lazarides, M.",0.0,1.0,http://www.wikidata.org/entity/Q6012831,Michael Lazarides,Lazarides,M.,"Lazarides, M.",,,,38062,5361-1,Lazarides,Q6012831,P005675b,1928.0,2011.0,,
88,15050,O'Shanesy,P.A.,Patrick,1934,1863.0,1887.0,"O'Shanesy, P.A.","O'Shanesy, P.A.","O'Shanesy, P.A.",0.0,1.0,http://www.wikidata.org/entity/Q21522303,Patrick Adams O'Shanesy,O'Shanesy,P.A.,"O'Shanesy, P.A.",,,,,20000187-1,O'Shanesy,,,1837.0,1884.0,,
