,family_name,initials_x,given_names,name,num_det,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
117,Flann,C.,Christina,"Flann, C.",1220,"Flann, C.","Flann, C.",1.0,1.0,http://www.wikidata.org/entity/Q21513201,Christina Flann,Flann,C.,"Flann, C.",,,,,38330-1,Flann,,,,1974.0,,,,http://www.wikidata.org/wiki/Q21513201,,,https://www.ipni.org/a/38330-1,,,
119,Haegi,L.,Laurie,"Haegi, L.",1200,"Haegi, L.","Haegi, L.",1.0,1.0,http://www.wikidata.org/entity/Q5971806,Laurence Haegi,Haegi,L.,"Haegi, L.",,,,79775,13662-1,Haegi,,,,1952.0,,,,http://www.wikidata.org/wiki/Q5971806,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=79775,https://www.ipni.org/a/13662-1,,,
133,Reese,W.D.,,"Reese, W.D.",1084,"Reese, W.D.","Reese, W.D.",1.0,1.0,http://www.wikidata.org/entity/Q21387966,William Dean Reese,Reese,W.D.,"Reese, W.D.",,94812892,0000 0000 8457 6242,,25450-1,W.D.Reese,,,,1928.0,2002.0,,,http://www.wikidata.org/wiki/Q21387966,,,https://www.ipni.org/a/25450-1,,,
134,Spencer,R.D.,Roger,"Spencer, R.D.",1076,"Spencer, R.D.","Spencer, R.D.",1.0,1.0,http://www.wikidata.org/entity/Q7358068,Roger David Spencer,Spencer,R.D.,"Spencer, R.D.",,77970107,0000 0000 8272 6438,,14570-1,R.D.Spencer,,,,1945.0,,,,http://www.wikidata.org/wiki/Q7358068,,,https://www.ipni.org/a/14570-1,,,
138,Rule,K.,Kevin,"Rule, K.",1012,"Rule, K.","Rule, K.",1.0,1.0,http://www.wikidata.org/entity/Q19001604,K. Rule,Rule,K.,"Rule, K.",,,,3909,37010-1,Rule,,,,,,,,http://www.wikidata.org/wiki/Q19001604,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=3909,https://www.ipni.org/a/37010-1,,,
139,Carolin,R.C.,,"Carolin, R.C.",1007,"Carolin, R.C.","Carolin, R.C.",1.0,1.0,http://www.wikidata.org/entity/Q5393862,Roger Charles Carolin,Carolin,R.C.,"Carolin, R.C.",,35831742,0000 0000 6349 9276,35811.0,1409-1,Carolin,,,,1929.0,,,,http://www.wikidata.org/wiki/Q5393862,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=35811,https://www.ipni.org/a/1409-1,,,
1,Stajsic,V.,Val,"Stajsic, V.",27987,"Stajsic, V.","Stajsic, V.",1.0,2.0,http://www.wikidata.org/entity/Q26714177,V. Stajsic,Stajsic,V.,"Stajsic, V.",,,,,39262-1,Stajsic,,,,,,,,http://www.wikidata.org/wiki/Q26714177,,,https://www.ipni.org/a/39262-1,,,
2,Stajsic,V.,Val,"Stajsic, V.",27987,"Stajsic, V.","Stajsic, V.",1.0,2.0,http://www.wikidata.org/entity/Q21395366,Val Stajsic,Stajsic,V.,"Stajsic, V.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21395366,,,,,,
7,Wilson,P.G.,Paul,"Wilson, P.G.",10963,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
8,Wilson,P.G.,Paul,"Wilson, P.G.",10963,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
9,Wilson,P.G.,Paul,"Wilson, P.G.",10963,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
10,Wilson,P.G.,Paul,"Wilson, P.G.",10963,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
11,Wilson,P.G.,Paul,"Wilson, P.G.",10963,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q910302,Paul Graham Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11741-1,Paul G.Wilson,,,,1928.0,,,,http://www.wikidata.org/wiki/Q910302,,,https://www.ipni.org/a/11741-1,,,
12,Wilson,P.G.,Paul,"Wilson, P.G.",10963,"Wilson, P.G.","Wilson, P.G.",1.0,2.0,http://www.wikidata.org/entity/Q6073393,Peter Gordon Wilson,Wilson,P.G.,"Wilson, P.G.",,,,,11744-1,Peter G.Wilson,,,,1950.0,,,,http://www.wikidata.org/wiki/Q6073393,,,https://www.ipni.org/a/11744-1,,,
15,Willis,J.H.,James,"Willis, J.H.",7659,"Willis, J.H.","Willis, J.H.",1.0,2.0,http://www.wikidata.org/entity/Q6135471,James Hamlyn Willis,Willis,J.H.,"Willis, J.H.",,75240843,0000 0001 0989 0124,33214,11720-1,J.H.Willis,,P000902b,willis-james-hamlyn-jim-21444,1910.0,1995.0,,,http://www.wikidata.org/wiki/Q6135471,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=33214,https://www.ipni.org/a/11720-1,,http://www.eoas.info/biogs/P000902b,http://adb.anu.edu.au/biography/willis-james-hamlyn-jim-21444
16,Willis,J.H.,James,"Willis, J.H.",7659,"Willis, J.H.","Willis, J.H.",1.0,2.0,http://www.wikidata.org/entity/Q47128902,John H. Willis,Willis,J.H.,"Willis, J.H.",,,,,20012709-2,John H.Willis,,,,,,,,http://www.wikidata.org/wiki/Q47128902,,,https://www.ipni.org/a/20012709-2,,,
26,Klazenga,N.,Niels,"Klazenga, N.",4306,"Klazenga, N.","Klazenga, N.",1.0,2.0,http://www.wikidata.org/entity/Q21517582,Niels Klazenga,Klazenga,N.,"Klazenga, N.",0000-0003-2224-6821,228151588,0000 0003 6337 2939,90456,20015939-1,Klazenga,0000-0003-2224-6821,,,1969.0,,,,http://www.wikidata.org/wiki/Q21517582,https://orcid.org/0000-0003-2224-6821,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=90456,https://www.ipni.org/a/20015939-1,https://bloodhound-tracker.net/0000-0003-2224-6821,,
27,Klazenga,N.,Niels,"Klazenga, N.",4306,"Klazenga, N.","Klazenga, N.",1.0,2.0,http://www.wikidata.org/entity/Q21387891,N. Klazenga,Klazenga,N.,"Klazenga, N.",,,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21387891,,,,,,
38,Ross,J.H.,Jim,"Ross, J.H.",2995,"Ross, J.H.","Ross, J.H.",1.0,2.0,http://www.wikidata.org/entity/Q5925767,James Henderson Ross,Ross,J.H.,"Ross, J.H.",,254622576,,,8609-1,J.H.Ross,,,,1941.0,,,,http://www.wikidata.org/wiki/Q5925767,,,https://www.ipni.org/a/8609-1,,,
39,Ross,J.H.,Jim,"Ross, J.H.",2995,"Ross, J.H.","Ross, J.H.",1.0,2.0,http://www.wikidata.org/entity/Q24026282,John Howlett Ross,Ross,J.H.,"Ross, J.H.",,94130382,,,,,,,ross-john-howlett-8273,1857.0,1953.0,,,http://www.wikidata.org/wiki/Q24026282,,,,,,http://adb.anu.edu.au/biography/ross-john-howlett-8273
48,Grimes,J.W.,Jim,"Grimes, J.W.",2518,"Grimes, J.W.","Grimes, J.W.",1.0,2.0,http://www.wikidata.org/entity/Q5925894,James Walter Grimes,Grimes,J.W.,"Grimes, J.W.",,,,,12158-1,J.W.Grimes,,,,1953.0,,,,http://www.wikidata.org/wiki/Q5925894,,,https://www.ipni.org/a/12158-1,,,
49,Grimes,J.W.,Jim,"Grimes, J.W.",2518,"Grimes, J.W.","Grimes, J.W.",1.0,2.0,http://www.wikidata.org/entity/Q18985106,Jeffrey William Grimes,Grimes,J.W.,"Grimes, J.W.",,,,,38806-1,Jeff W.Grimes,,,,1950.0,,,,http://www.wikidata.org/wiki/Q18985106,,,https://www.ipni.org/a/38806-1,,,
59,Smith,R.V.,,"Smith, R.V.",2210,"Smith, R.V.","Smith, R.V.",1.0,2.0,http://www.wikidata.org/entity/Q21609131,Raymond Vaughan Smith,Smith,R.V.,"Smith, R.V.",,,,,9819-1,R.V.Sm.,,,,1923.0,,,,http://www.wikidata.org/wiki/Q21609131,,,https://www.ipni.org/a/9819-1,,,
60,Smith,R.V.,,"Smith, R.V.",2210,"Smith, R.V.","Smith, R.V.",1.0,2.0,http://www.wikidata.org/entity/Q21387929,Raymond Vaughan Smith,Smith,R.V.,"Smith, R.V.",,,,,,,,,,1923.0,,,,http://www.wikidata.org/wiki/Q21387929,,,,,,
