,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
677,MRTED,Martens E.,von Martens,Eduard,Karl,"von Martens, E.K.","von Martens, E.K.","Martens, E.v.",0.646,1.0,http://www.wikidata.org/entity/Q69554,Eduard von Martens,Martens,E.v.,"Martens, E.v.",,35296551,0000 0001 0823 0917,,6148-1,E.Martens,,,,1831.0,1904.0,,,http://www.wikidata.org/wiki/Q69554,,,https://www.ipni.org/a/6148-1,,,
1310,RATHG,Rathburn G.,Rathburn,G.,,"Rathburn, G.n.","Rathburn, G.n.","Rathbun, G.",0.646,1.0,http://www.wikidata.org/entity/Q2664528,Galen Rathbun,Rathbun,G.,"Rathbun, G.",,27172809,0000 0000 8366 6852,,,,,,,1944.0,2019.0,,,http://www.wikidata.org/wiki/Q2664528,,,,,,
1504,JUDE1,Jude-Marie,Jude-Marie,,,"Jude-Marie, n.n.","Jude-Marie, n.n.","Jude, N.",0.646,1.0,http://www.wikidata.org/entity/Q19666616,Norman Jude,Jude,N.,"Jude, N.",,,,,,,,,jude-sir-norman-lane-13017,1905.0,1975.0,,,http://www.wikidata.org/wiki/Q19666616,,,,,,http://adb.anu.edu.au/biography/jude-sir-norman-lane-13017
1955,ENGSM,Engstedt M.,Engstedt,Magnus,,"Engstedt, M.n.","Engstedt, M.n.","Klingstedt, H.",0.646,1.0,http://www.wikidata.org/entity/Q11863528,Holger Klingstedt,Klingstedt,H.,"Klingstedt, H.",,309685263,,,,,,,,1900.0,1947.0,,,http://www.wikidata.org/wiki/Q11863528,,,,,,
3253,JARMP,Jarman P.,Jarman,P.,,"Jarman, P.n.","Jarman, P.n.","Jarman, C.A.",0.646,1.0,http://www.wikidata.org/entity/Q21536194,Charles Arthur Jarman,Jarman,C.A.,"Jarman, C.A.",,,,,,,,,jarman-charles-arthur-10616,1882.0,1968.0,,,http://www.wikidata.org/wiki/Q21536194,,,,,,http://adb.anu.edu.au/biography/jarman-charles-arthur-10616
4139,OCCHC,Occhionero C.,Occhionero,C.,,"Occhionero, C.n.","Occhionero, C.n.","Occhioni, P.",0.646,1.0,http://www.wikidata.org/entity/Q19344832,Paul Occhioni,Occhioni,P.,"Occhioni, P.",,,,2356,7077-1,Occhioni,,,,1915.0,2000.0,,,http://www.wikidata.org/wiki/Q19344832,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2356,https://www.ipni.org/a/7077-1,,,
4732,THIE11,Thieme,Thieme,,,"Thieme, n.n.","Thieme, n.n.","Thieme, T.O.",0.646,1.0,http://www.wikidata.org/entity/Q16854318,Theodor Otto Thieme,Thieme,T.O.,"Thieme, T.O.",,181179413,,,,,,,,1837.0,1907.0,,,http://www.wikidata.org/wiki/Q16854318,,,,,,
5652,F889,A. Froment,Froment,A.,,"Froment, A.n.","Froment, A.n.","Fromentin, H.",0.646,1.0,http://www.wikidata.org/entity/Q36572676,Huguette Fromentin,Fromentin,H.,"Fromentin, H.",,,,78345,19014-1,Fromentin,,,,,,,,http://www.wikidata.org/wiki/Q36572676,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=78345,https://www.ipni.org/a/19014-1,,,
5705,HELLV,Hellmann V.,Hellmann,V.,,"Hellmann, V.n.","Hellmann, V.n.","Hellman, M.",0.646,1.0,http://www.wikidata.org/entity/Q21664524,Milo Hellman,Hellman,M.,"Hellman, M.",,27452879,0000 0000 6666 2913,,,,,,,1872.0,1947.0,,,http://www.wikidata.org/wiki/Q21664524,,,,,,
6638,SYNNT,Synnott T.J.,Synnott,T.J.,,"Synnott, T.J.n.","Synnott, T.J.n.","Synnot, M.",0.646,1.0,http://www.wikidata.org/entity/Q6898521,Monckton Synnot,Synnot,M.,"Synnot, M.",,,,,,,,,synnot-monckton-4683,1827.0,1879.0,,,http://www.wikidata.org/wiki/Q6898521,,,,,,http://adb.anu.edu.au/biography/synnot-monckton-4683
