,coll_index,surname,initials,canonical_string,name,active,comment,info_link,portrait_link
1894,c01895,JOSHUA,J.,"JOSHUA, J.","JOSHUA, John",fl. 1950s-60s,Photographer,,
1895,c01896,JOYCE,,JOYCE,JOYCE,fl. 1840s,,,
1896,c01897,JUDD,H.,"JUDD, H.","JUDD, Howard",fl. 1960s-70s,,,
1897,c01898,JUKES,J.B.,"JUKES, J.B.","JUKES, Joseph Beete",1811-1869,Geological surveyor,,
1898,c01899,JULIUS,G.A.,"JULIUS, G.A.","JULIUS, George Alfred, Sir",1873-1946,Wood technologist,,
1899,c01900,JUTSON,J.T.,"JUTSON, J.T.","JUTSON, John Thomas, Dr",1874-1959,"Lawyer, geologist",,
1900,c01901,KAJEWSKI,S.F.,"KAJEWSKI, S.F.","KAJEWSKI, S. Frank",fl. 1920s,,,
1901,c01902,KALESKI,L.J.,"KALESKI, L.J.","KALESKI, L.J.",fl. 1930s,,,
1902,c01903,KANIS,A.[.,"KANIS, A.[.","KANIS, Andries [Andrew], Dr*",1934-1986,Herbarium botanist with CSIRO Canberra,notes,portrait
1903,c01904,KANTVILAS,G.,"KANTVILAS, G.","KANTVILAS, Gintaras",1956-,"Herbarium botanist, lichen specialist, Tas",,
1904,c01905,KARRFALT,E.,"KARRFALT, E.","KARRFALT, Eric",fl. 1980,Palaeobotanist,,
1905,c01906,KARSTEN,,KARSTEN,KARSTEN,,,,
1906,c01907,KARTZOFF,M.E.,"KARTZOFF, M.E.","KARTZOFF, Michael Eugene",1908-1987,"Forester, seed collector, alderman, NSW",notes,portrait
1907,c01908,KASPIEW,B.F.,"KASPIEW, B.F.","KASPIEW, Boris Fedorovich",1886-1964,"Amateur botanist, commercial collector",notes,portrait
1908,c01909,KAY,C.B.,"KAY, C.B.","KAY, Cyril B.",,Electrical engineer,,
1909,c01910,KAYSER,F.,"KAYSER, F.","KAYSER, Friedrich",-1877,Lichenologist,,
1910,c01911,KAYSER,H.W.F.,"KAYSER, H.W.F.","KAYSER, Heinrich Wilhem Ferdinand",1833-1919,Mining engineer,,
1911,c01912,KEANE,P.J.,"KEANE, P.J.","KEANE, P.J.",,"Botanist, University lecturer",,
1912,c01913,KEARTLAND,G.A.,"KEARTLAND, G.A.","KEARTLAND, George Arthur",1848-1926,"Zoologist, botanist",,
1913,c01914,KEBLE,A.R.,"KEBLE, A.R.","KEBLE, Alexander Robert",1884-1963,Palaeontologist,,
1914,c01915,KEEFER,G.D.,"KEEFER, G.D.","KEEFER, G.D.",,,,
1915,c01916,KEIGHERY,G.J.,"KEIGHERY, G.J.","KEIGHERY, Gregory John*",1950-,"Botanist, biologist",,portrait
1916,c01917,KEILLER,I.J.,"KEILLER, I.J.","KEILLER, It.J.",,,,
1917,c01918,KELLERMAN,,KELLERMAN,KELLERMAN,,,,
1918,c01919,KELLY,M.,"KELLY, M.","KELLY, Mrs",fl.1892,"Collected  at
      'Caiwarro Station', and Paroo River, Qld",,
1919,c01920,KELLY,R.,"KELLY, R.","KELLY, R.",fl. 1913,,,
1920,c01921,KELLY,S.,"KELLY, S.","KELLY, Stanley",1911-2001,"Engine driver, eucalypt illustrator, author",notes,portrait
1921,c01922,KELSO,E.G.,"KELSO, E.G.","KELSO, Edmund Gabriel",c.1864-1950,Forest officer,,
1922,c01923,KEMP,E.M.,"KEMP, E.M.","KEMP, Elizabeth M., Dr",fl. 1960-85,"Palynologist, palaeobotanist",,
1923,c01924,KEMPE,F.A.H.,"KEMPE, F.A.H.","KEMPE, Friedrich Adolf Hermann, Rev.",1844-1928/9,"Missionary, botanist",notes,
1924,c01925,KEMSLEY,D.S.,"KEMSLEY, D.S.","KEMSLEY, Douglas Sinclair",-1984,"Teacher, metallurgist",,
1925,c01926,KENDALL,R.J.,"KENDALL, R.J.","KENDALL, R.J.",fl. 1860,,,
1926,c01927,KENDER,F.M.,"KENDER, F.M.","KENDER, F.M.",fl. 1909,,,
1927,c01928,KENLEY,P.R.,"KENLEY, P.R.","KENLEY, Peter Roland",1927-,"Geologist, Director of Geological Survey",,
1928,c01929,KENNEALLY,K.F.,"KENNEALLY, K.F.","KENNEALLY, Kevin Francis",1945-,"Botanist, biogeographer, WA",,portrait
1929,c01930,KENNEDY,D.C.,"KENNEDY, D.C.","KENNEDY, Donald Cameron",1878-,Forrester,notes,
1930,c01931,KENNEDY,E.M.,"KENNEDY, E.M.","KENNEDY, Edith Mary, or Effie Isabel",1867-,Collected for Mueller in NSW,notes,
1931,c01932,KENNEDY,E.B.C.,"KENNEDY, E.B.C.","KENNEDY, Edmund Besley Court",1818-1848,"Surveyor, explorer",notes,portrait
