,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
1072,"Taplin, R.L.",824,1987.0,2016.0,29.0,"Taplin, R.L.","Taplin, G.",0.823,1.0,http://www.wikidata.org/entity/Q18344093,George Taplin,Taplin,G.,"Taplin, G.",,58365794,0000 0000 6391 5241,,,,,,1831.0,1879.0,,,http://www.wikidata.org/wiki/Q18344093,,,,,,http://adb.anu.edu.au/biography/taplin-george-4687
1115,"Dauncey, H.",788,2007.0,2016.0,9.0,"Dauncey, H.","Dauncey, E.A.",0.823,1.0,http://www.wikidata.org/entity/Q21509879,Elizabeth Anne Dauncey,Dauncey,E.A.,"Dauncey, E.A.",,,,60478,35603-1,Dauncey,,,1965.0,,,,http://www.wikidata.org/wiki/Q21509879,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60478,https://www.ipni.org/a/35603-1,,,
135,"Shepherd, S.A.",6764,1940.0,2004.0,64.0,"Shepherd, S.A.","Shepherd, J.",0.822,1.0,http://www.wikidata.org/entity/Q21608783,John Shepherd,Shepherd,J.,"Shepherd, J.",,,,80291,9561-1,Sheph.,,,1764.0,1836.0,,,http://www.wikidata.org/wiki/Q21608783,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=80291,https://www.ipni.org/a/9561-1,,,
802,"Benson, J.S.",1130,1970.0,2009.0,39.0,"Benson, J.S.","Benson, J.R.",0.822,1.0,http://www.wikidata.org/entity/Q20313251,John Robinson Benson,Benson,J.R.,"Benson, J.R.",,,,,,,,,1836.0,1885.0,,,http://www.wikidata.org/wiki/Q20313251,,,,,,http://adb.anu.edu.au/biography/benson-john-robinson-2977
1090,"Giblin, A.V.",806,1888.0,1939.0,51.0,"Giblin, A.V.","Giblin, W.",0.822,1.0,http://www.wikidata.org/entity/Q8009848,William Giblin,Giblin,W.,"Giblin, W.",,129549144,,,,,,,1840.0,1887.0,,,http://www.wikidata.org/wiki/Q8009848,,,,,,http://adb.anu.edu.au/biography/giblin-william-robert-3606
599,"May, S.",1546,1997.0,1997.0,0.0,"May, S.","May, S.J.",0.821,1.0,http://www.wikidata.org/entity/Q21393773,Susan Julie May,May,S.J.,"May, S.J.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21393773,,,,,,
758,"Stove, K.",1227,1960.0,1993.0,33.0,"Stove, K.","Stove, D.",0.821,1.0,http://www.wikidata.org/entity/Q716120,David Stove,Stove,D.,"Stove, D.",,34476553,0000 0001 1617 6068,,,,,,1927.0,1994.0,,,http://www.wikidata.org/wiki/Q716120,,,,,,http://adb.anu.edu.au/biography/stove-david-charles-1547
721,"Osborn, T.G.B.",1268,1907.0,1982.0,75.0,"Osborn, T.G.B.","Osborn, T.",0.819,1.0,http://www.wikidata.org/entity/Q7781936,Theodore Osborn,Osborn,T.,"Osborn, T.",,,,33542,7181-1,T.Osborn,,P000687b,1887.0,1973.0,,,http://www.wikidata.org/wiki/Q7781936,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=33542,https://www.ipni.org/a/7181-1,,http://www.eoas.info/biogs/P000687b,http://adb.anu.edu.au/biography/osborn-theodore-george-bentley-7924
1024,"Black, E.C.",852,1849.0,1961.0,112.0,"Black, E.C.","Black, E.W.(.",0.818,1.0,http://www.wikidata.org/entity/Q24239558,Edward William (Eddie) Black,Black,E.W.(.,"Black, E.W.(.",,144246766,,,,,,,1902.0,1971.0,,,http://www.wikidata.org/wiki/Q24239558,,,,,,http://adb.anu.edu.au/biography/black-edward-william-eddie-9518
931,Adams,952,1904.0,1973.0,69.0,Adams,"Adams, J.",0.818,2.0,http://www.wikidata.org/entity/Q10307799,John Adams,Adams,J.,"Adams, J.",,61782459,0000 0000 0122 0217,83458.0,20002779-1,J.Adams,,,1872.0,1950.0,,,http://www.wikidata.org/wiki/Q10307799,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=83458,https://www.ipni.org/a/20002779-1,,,
932,Adams,952,1904.0,1973.0,69.0,Adams,"Adams, J.",0.818,2.0,http://www.wikidata.org/entity/Q6183179,Jerry Adams,Adams,J.,"Adams, J.",0000-0002-4360-8628,56443473,0000 0000 4697 6819,,,,,P003088b,1940.0,,,,http://www.wikidata.org/wiki/Q6183179,https://orcid.org/0000-0002-4360-8628,,,,http://www.eoas.info/biogs/P003088b,
490,"Ralston, K.",2006,1990.0,2007.0,17.0,"Ralston, K.","Ralston, E.M.",0.816,1.0,http://www.wikidata.org/entity/Q22811110,Edith Marion Ralston,Ralston,E.M.,"Ralston, E.M.",,,,,,,,,1894.0,1967.0,,,http://www.wikidata.org/wiki/Q22811110,,,,,,http://adb.anu.edu.au/biography/ralston-edith-marion-11480
882,"Kilgour, R.A.",1026,1981.0,1992.0,11.0,"Kilgour, R.A.","Kilgour, A.J.",0.816,1.0,http://www.wikidata.org/entity/Q24205051,Alexander James Kilgour,Kilgour,A.J.,"Kilgour, A.J.",,,,,,,,,1861.0,1944.0,,,http://www.wikidata.org/wiki/Q24205051,,,,,,http://adb.anu.edu.au/biography/kilgour-alexander-james-6954
148,"Conn, B.J.",6370,1961.0,2017.0,56.0,"Conn, B.J.","Conn, B.",0.815,1.0,http://www.wikidata.org/entity/Q21340328,Barry Conn,Conn,B.,"Conn, B.",0000-0001-9832-3809,91424478,,,13263-1,B.J.Conn,,,1948.0,,,,http://www.wikidata.org/wiki/Q21340328,https://orcid.org/0000-0001-9832-3809,,https://www.ipni.org/a/13263-1,,,
383,"Cave, L.H.",2700,1989.0,2020.0,31.0,"Cave, L.H.","Cave, L.D.",0.815,1.0,http://www.wikidata.org/entity/Q21338486,Laura Delle Cave,Cave,L.D.,"Cave, L.D.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21338486,,,,,,
1163,"Tunstall, R.G.",746,1981.0,2005.0,24.0,"Tunstall, R.G.","Tunstall, M.",0.815,1.0,http://www.wikidata.org/entity/Q262859,Marmaduke Tunstall,Tunstall,M.,"Tunstall, M.",,27466680,0000 0000 5106 3053,,,,,,1743.0,1790.0,,,http://www.wikidata.org/wiki/Q262859,,,,,,
934,"Healey, K.",950,1953.0,1963.0,10.0,"Healey, K.","Healey, M.",0.812,1.0,http://www.wikidata.org/entity/Q73144107,Maud Healey,Healey,M.,"Healey, M.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q73144107,,,,,,
713,"Henderson, D.L.W.",1291,1939.0,1970.0,31.0,"Henderson, D.L.W.","Henderson, D.",0.812,3.0,http://www.wikidata.org/entity/Q21337373,Dennis Henderson,Henderson,D.,"Henderson, D.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21337373,,,,,,
714,"Henderson, D.L.W.",1291,1939.0,1970.0,31.0,"Henderson, D.L.W.","Henderson, D.",0.812,3.0,http://www.wikidata.org/entity/Q5292770,Don Henderson,Henderson,D.,"Henderson, D.",,5691155648130818330001,,,,,,,1937.0,1991.0,,,http://www.wikidata.org/wiki/Q5292770,,,,,,http://adb.anu.edu.au/biography/henderson-donald-james-don-15169
715,"Henderson, D.L.W.",1291,1939.0,1970.0,31.0,"Henderson, D.L.W.","Henderson, D.",0.812,3.0,http://www.wikidata.org/entity/Q24082471,Daniel Henderson,Henderson,D.,"Henderson, D.",,,,,,,,,1834.0,1892.0,,,http://www.wikidata.org/wiki/Q24082471,,,,,,http://adb.anu.edu.au/biography/henderson-daniel-12974
232,"Wrigley, J.W.",4284,1960.0,1996.0,36.0,"Wrigley, J.W.","Wrigley, H.",0.811,2.0,http://www.wikidata.org/entity/Q5730529,Henry Wrigley,Wrigley,H.,"Wrigley, H.",,185568516,0000 0003 5638 0113,,,,,,1892.0,1987.0,1916.0,,http://www.wikidata.org/wiki/Q5730529,,,,,,http://adb.anu.edu.au/biography/wrigley-henry-neilson-15655
233,"Wrigley, J.W.",4284,1960.0,1996.0,36.0,"Wrigley, J.W.","Wrigley, H.",0.811,2.0,http://www.wikidata.org/entity/Q15969972,Hugh Wrigley,Wrigley,H.,"Wrigley, H.",,,,,,,,,1891.0,1980.0,,,http://www.wikidata.org/wiki/Q15969972,,,,,,http://adb.anu.edu.au/biography/wrigley-hugh-12078
944,"Nicholson, D.I.",942,1940.0,2001.0,61.0,"Nicholson, D.I.","Nicholson, J.",0.81,3.0,http://www.wikidata.org/entity/Q1619224,John Nicholson,Nicholson,J.,"Nicholson, J.",,16503110,,,,,,,1765.0,1820.0,,,http://www.wikidata.org/wiki/Q1619224,,,,,,
945,"Nicholson, D.I.",942,1940.0,2001.0,61.0,"Nicholson, D.I.","Nicholson, J.",0.81,3.0,http://www.wikidata.org/entity/Q18732435,John Nicholson,Nicholson,J.,"Nicholson, J.",,23495190,,,,,,,1781.0,1822.0,,,http://www.wikidata.org/wiki/Q18732435,,,,,,
946,"Nicholson, D.I.",942,1940.0,2001.0,61.0,"Nicholson, D.I.","Nicholson, J.",0.81,3.0,http://www.wikidata.org/entity/Q18166045,John Nicholson,Nicholson,J.,"Nicholson, J.",,,,,,,,,1840.0,1919.0,,,http://www.wikidata.org/wiki/Q18166045,,,,,,http://adb.anu.edu.au/biography/nicholson-john-barnes-7846
222,"Parris, M.",4404,1970.0,1995.0,25.0,"Parris, M.","Harris, M.",0.809,3.0,http://www.wikidata.org/entity/Q720166,Moses Harris,Harris,M.,"Harris, M.",,39718627,0000 0000 8374 6932,,,,,,1731.0,1785.0,,,http://www.wikidata.org/wiki/Q720166,,,,,,
223,"Parris, M.",4404,1970.0,1995.0,25.0,"Parris, M.","Harris, M.",0.809,3.0,http://www.wikidata.org/entity/Q61010958,Mark Harris,Harris,M.,"Harris, M.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q61010958,,,,,,
224,"Parris, M.",4404,1970.0,1995.0,25.0,"Parris, M.","Harris, M.",0.809,3.0,http://www.wikidata.org/entity/Q19874134,Matthew Harris,Harris,M.,"Harris, M.",,,,,,,,,1841.0,1917.0,,,http://www.wikidata.org/wiki/Q19874134,,,,,,http://adb.anu.edu.au/biography/harris-sir-matthew-6580
478,"Stephens, K.M.",2053,1995.0,2012.0,17.0,"Stephens, K.M.","Stephens, J.",0.809,3.0,http://www.wikidata.org/entity/Q15999380,Jane Stephens,Stephens,J.,"Stephens, J.",,274792359,0000 0003 8426 3504,,,,,,1879.0,1959.0,,,http://www.wikidata.org/wiki/Q15999380,,,,,,
479,"Stephens, K.M.",2053,1995.0,2012.0,17.0,"Stephens, K.M.","Stephens, J.",0.809,3.0,http://www.wikidata.org/entity/Q6143570,James Stephens,Stephens,J.,"Stephens, J.",,13080818,,,,,,,1821.0,1889.0,,,http://www.wikidata.org/wiki/Q6143570,,,,,,http://adb.anu.edu.au/biography/stephens-james-4641
480,"Stephens, K.M.",2053,1995.0,2012.0,17.0,"Stephens, K.M.","Stephens, J.",0.809,3.0,http://www.wikidata.org/entity/Q16066419,John Stephens,Stephens,J.,"Stephens, J.",,169822052,,,,,,,1806.0,1850.0,,,http://www.wikidata.org/wiki/Q16066419,,,,,,http://adb.anu.edu.au/biography/stephens-john-2697
330,"Brodie, C.J.",3045,2009.0,2018.0,9.0,"Brodie, C.J.","Brodie, J.",0.807,1.0,http://www.wikidata.org/entity/Q34301140,Juliet Brodie,Brodie,J.,"Brodie, J.",,,,,32550-1,J.Brodie,,,,,,,http://www.wikidata.org/wiki/Q34301140,,,https://www.ipni.org/a/32550-1,,,
520,"Franks, A.J.",1890,1991.0,2019.0,28.0,"Franks, A.J.","Franks, M.",0.807,1.0,http://www.wikidata.org/entity/Q21502993,Millicent Franks,Franks,M.,"Franks, M.",,,,10847,2879-1,Franks,,,1886.0,1961.0,,,http://www.wikidata.org/wiki/Q21502993,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10847,https://www.ipni.org/a/2879-1,,,
731,"Ingwersen, F.",1255,1962.0,1996.0,34.0,"Ingwersen, F.","Ingwersen, W.E.T.",0.806,1.0,http://www.wikidata.org/entity/Q21516760,Walter Edward Theodore Ingwersen,Ingwersen,W.E.T.,"Ingwersen, W.E.T.",,285286912,0000 0003 9146 3184,71119,4297-1,Ingw.,,,1885.0,1960.0,,,http://www.wikidata.org/wiki/Q21516760,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=71119,https://www.ipni.org/a/4297-1,,,
922,"McDonald, K.R. (1)",972,1990.0,2016.0,26.0,"McDonald, K.R. (1)","McDonald, K.",0.806,1.0,http://www.wikidata.org/entity/Q22110845,Keith McDonald,McDonald,K.,"McDonald, K.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22110845,,,,,,
991,"Bishop, W.",893,1981.0,1988.0,7.0,"Bishop, W.","Bishop, J.",0.806,1.0,http://www.wikidata.org/entity/Q6221999,John Bishop,Bishop,J.,"Bishop, J.",,92962313,,,,,,,1903.0,1964.0,,,http://www.wikidata.org/wiki/Q6221999,,,,,,http://adb.anu.edu.au/biography/bishop-lionel-albert-jack-john-9514
168,"Aston, H.I.",5662,1950.0,2000.0,50.0,"Aston, H.I.","Aston, H.",0.805,1.0,http://www.wikidata.org/entity/Q21393448,Helen Aston,Aston,H.,"Aston, H.",,45910872,0000 0000 3357 188X,73165.0,13241-1,Aston,,,1934.0,,,,http://www.wikidata.org/wiki/Q21393448,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=73165,https://www.ipni.org/a/13241-1,,,
482,"Leichhardt, F.W.L.",2031,1827.0,2002.0,175.0,"Leichhardt, F.W.L.","Leichhardt, L.",0.805,1.0,http://www.wikidata.org/entity/Q57763,Ludwig Leichhardt,Leichhardt,L.,"Leichhardt, L.",,19812603,0000 0000 8098 9904,70138.0,5440-1,Leichh.,,P000570b,1813.0,1848.0,,,http://www.wikidata.org/wiki/Q57763,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70138,https://www.ipni.org/a/5440-1,,http://www.eoas.info/biogs/P000570b,http://adb.anu.edu.au/biography/leichhardt-friedrich-wilhelm-ludwig-2347
890,"Sewell, J.",1022,1882.0,1972.0,90.0,"Sewell, J.","Sewell, A.M.",0.804,1.0,http://www.wikidata.org/entity/Q21535479,Alice Maud Sewell,Sewell,A.M.,"Sewell, A.M.",,,,,,,,,1881.0,1971.0,,,http://www.wikidata.org/wiki/Q21535479,,,,,,http://adb.anu.edu.au/biography/sewell-alice-maud-8556
881,"Unwin, G.L.",1027,1971.0,1988.0,17.0,"Unwin, G.L.","Unwin, D.",0.803,1.0,http://www.wikidata.org/entity/Q3018906,David Unwin,Unwin,D.,"Unwin, D.",,,,,,,,,1953.0,,,,http://www.wikidata.org/wiki/Q3018906,,,,,,
404,"Mills, K.",2603,1939.0,2017.0,78.0,"Mills, K.","Mills, M.",0.802,1.0,http://www.wikidata.org/entity/Q16749892,May Mills,Mills,M.,"Mills, M.",,,,,,,,,1890.0,1984.0,,,http://www.wikidata.org/wiki/Q16749892,,,,,,http://adb.anu.edu.au/biography/mills-may-14963
972,"Stuckey, B.",914,1965.0,2012.0,47.0,"Stuckey, B.","Stuckey, R.D.",0.801,1.0,http://www.wikidata.org/entity/Q21537676,Roy Darrell Stuckey,Stuckey,R.D.,"Stuckey, R.D.",,,,,,,,,1900.0,1985.0,,,http://www.wikidata.org/wiki/Q21537676,,,,,,http://adb.anu.edu.au/biography/stuckey-roy-darrell-15791
800,"Halliday, T.A.",1132,1971.0,1981.0,10.0,"Halliday, T.A.","Halliday, W.",0.8,1.0,http://www.wikidata.org/entity/Q21997664,William Halliday,Halliday,W.,"Halliday, W.",,,,,,,,,1828.0,1892.0,,,http://www.wikidata.org/wiki/Q21997664,,,,,,http://adb.anu.edu.au/biography/halliday-william-1086
821,"Hansen, N.A.",1105,1924.0,1966.0,42.0,"Hansen, N.A.","Hansen, N.E.",0.8,1.0,http://www.wikidata.org/entity/Q7031479,Niels Ebbesen Hansen,Hansen,N.E.,"Hansen, N.E.",,43853698,0000 0000 3847 1415,77292.0,3633-1,N.E.Hansen,,,1866.0,1950.0,,,http://www.wikidata.org/wiki/Q7031479,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=77292,https://www.ipni.org/a/3633-1,,,
981,"Mullins, E.",900,1971.0,1990.0,19.0,"Mullins, E.","Mullins, J.L.",0.8,1.0,http://www.wikidata.org/entity/Q20983381,John Lane Mullins,Mullins,J.L.,"Mullins, J.L.",,93733210,,,,,,,1857.0,1939.0,,,http://www.wikidata.org/wiki/Q20983381,,,,,,http://adb.anu.edu.au/biography/mullins-john-lane-7680
498,"McKenna, S.G.",1956,2008.0,2018.0,10.0,"McKenna, S.G.","McKenna, M.",0.799,2.0,http://www.wikidata.org/entity/Q63587,Malcolm McKenna,McKenna,M.,"McKenna, M.",,22230933,0000 0001 0878 2412,,,,,,1930.0,2008.0,,,http://www.wikidata.org/wiki/Q63587,,,,,,
499,"McKenna, S.G.",1956,2008.0,2018.0,10.0,"McKenna, S.G.","McKenna, M.",0.799,2.0,http://www.wikidata.org/entity/Q21457294,Martin McKenna,McKenna,M.,"McKenna, M.",,,,,,,,,1832.0,1907.0,,,http://www.wikidata.org/wiki/Q21457294,,,,,,http://adb.anu.edu.au/biography/mckenna-martin-4107
27,"Purdie, R.W.",18743,1960.0,2019.0,59.0,"Purdie, R.W.","Purdie, W.",0.798,1.0,http://www.wikidata.org/entity/Q6167706,William Purdie,Purdie,W.,"Purdie, W.",,,,18927,8025-1,Purdie,,,1817.0,1857.0,,,http://www.wikidata.org/wiki/Q6167706,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=18927,https://www.ipni.org/a/8025-1,,,
574,"Carr, G.W. | Beauglehole, A.C.",1663,1964.0,1994.0,30.0,"Carr, G.W. | Beauglehole, A.C.","Beauglehole, A.C.",0.798,1.0,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,Q16744919,P000214b,1920.0,2002.0,,,http://www.wikidata.org/wiki/Q16744919,,,,https://bloodhound-tracker.net/Q16744919,http://www.eoas.info/biogs/P000214b,
904,"Duncan, B.D.",1005,1972.0,1997.0,25.0,"Duncan, B.D.","Duncan, J.",0.797,4.0,http://www.wikidata.org/entity/Q6132932,James Duncan,Duncan,J.,"Duncan, J.",,13824594,0000 0001 0978 1411,,,,,,1804.0,1861.0,,,http://www.wikidata.org/wiki/Q6132932,,,,,,
905,"Duncan, B.D.",1005,1972.0,1997.0,25.0,"Duncan, B.D.","Duncan, J.",0.797,4.0,http://www.wikidata.org/entity/Q6230346,John Duncan,Duncan,J.,"Duncan, J.",,,,35997,,,,,1794.0,1881.0,,,http://www.wikidata.org/wiki/Q6230346,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=35997,,,,
906,"Duncan, B.D.",1005,1972.0,1997.0,25.0,"Duncan, B.D.","Duncan, J.",0.797,4.0,http://www.wikidata.org/entity/Q21511053,James Duncan,Duncan,J.,"Duncan, J.",,67203561,0000 0000 5188 2622,27652,13964-1,Duncan,,,1802.0,1876.0,,,http://www.wikidata.org/wiki/Q21511053,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=27652,https://www.ipni.org/a/13964-1,,,
907,"Duncan, B.D.",1005,1972.0,1997.0,25.0,"Duncan, B.D.","Duncan, J.",0.797,4.0,http://www.wikidata.org/entity/Q18379593,John Duncan,Duncan,J.,"Duncan, J.",,,,,,,,,1845.0,1913.0,,,http://www.wikidata.org/wiki/Q18379593,,,,,,http://adb.anu.edu.au/biography/duncan-sir-john-james-1171
351,"McKee, H.S.",2911,1945.0,1972.0,27.0,"McKee, H.S.","MacKee, H.S.",0.796,1.0,http://www.wikidata.org/entity/Q21519729,Hugh Shaw MacKee,MacKee,H.S.,"MacKee, H.S.",,58083262,0000 0001 0976 4902,44295,22692-1,MacKee,,,1912.0,1995.0,,,http://www.wikidata.org/wiki/Q21519729,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=44295,https://www.ipni.org/a/22692-1,,,
886,"Adair, R.J.",1023,1928.0,2016.0,88.0,"Adair, R.J.","Adair, J.",0.796,1.0,http://www.wikidata.org/entity/Q6218132,John Adair,Adair,J.,"Adair, J.",,,,,,,,P001579b,1852.0,1913.0,,,http://www.wikidata.org/wiki/Q6218132,,,,,http://www.eoas.info/biogs/P001579b,
528,"Paull, G.",1855,1996.0,1997.0,1.0,"Paull, G.","Paull, R.",0.794,1.0,http://www.wikidata.org/entity/Q59604866,Rosemary Paull,Paull,R.,"Paull, R.",,,,,20033160-1,R.Paull,,,,,,,http://www.wikidata.org/wiki/Q59604866,,,https://www.ipni.org/a/20033160-1,,,
656,"Godwin, M.",1403,1975.0,2001.0,26.0,"Godwin, M.","Godwin, G.N.",0.794,1.0,http://www.wikidata.org/entity/Q17626696,George Nelson Godwin,Godwin,G.N.,"Godwin, G.N.",,91560748,0000 0000 6536 0702,,,,,,1846.0,1907.0,,,http://www.wikidata.org/wiki/Q17626696,,,,,,
948,"Stoddart, D.R.",942,1973.0,1974.0,1.0,"Stoddart, D.R.","Stoddart, J.A.",0.793,1.0,http://www.wikidata.org/entity/Q33694436,J.A. Stoddart,Stoddart,J.A.,"Stoddart, J.A.",,,,,35315-1,J.A.Stoddart,,,,,,,http://www.wikidata.org/wiki/Q33694436,,,https://www.ipni.org/a/35315-1,,,
1106,"Legge, S.",796,1996.0,2006.0,10.0,"Legge, S.","Legge, J.G.",0.79,1.0,http://www.wikidata.org/entity/Q6134756,James Gordon Legge,Legge,J.G.,"Legge, J.G.",,73459790,0000 0000 6405 6813,,,,,,1863.0,1947.0,,,http://www.wikidata.org/wiki/Q6134756,,,,,,http://adb.anu.edu.au/biography/legge-james-gordon-7160
149,"Hill, K.D.",6347,1964.0,2003.0,39.0,"Hill, K.D.","Hill, K.",0.79,2.0,http://www.wikidata.org/entity/Q435038,Ken Hill,Hill,K.,"Hill, K.",,48929574,0000 0001 0898 1841,,14734-1,K.D.Hill,,P005244b,1948.0,2010.0,,,http://www.wikidata.org/wiki/Q435038,,,https://www.ipni.org/a/14734-1,,http://www.eoas.info/biogs/P005244b,
150,"Hill, K.D.",6347,1964.0,2003.0,39.0,"Hill, K.D.","Hill, K.",0.79,2.0,http://www.wikidata.org/entity/Q22813113,Kate Hill,Hill,K.,"Hill, K.",,,,,,,,P001105b,1859.0,1933.0,,,http://www.wikidata.org/wiki/Q22813113,,,,,http://www.eoas.info/biogs/P001105b,http://adb.anu.edu.au/biography/hill-kate-6670
1183,"Hinz, R.",731,1974.0,1993.0,19.0,"Hinz, R.","Hinz, C.",0.789,1.0,http://www.wikidata.org/entity/Q22109638,Claus Hinz,Hinz,C.,"Hinz, C.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22109638,,,,,,
807,"Pearson, D.J.",1123,1980.0,2009.0,29.0,"Pearson, D.J.","Pearson, J.",0.789,3.0,http://www.wikidata.org/entity/Q44923297,Joseph Pearson,Pearson,J.,"Pearson, J.",,305810526,,,,,,,1881.0,1971.0,,,http://www.wikidata.org/wiki/Q44923297,,,,,,
808,"Pearson, D.J.",1123,1980.0,2009.0,29.0,"Pearson, D.J.","Pearson, J.",0.789,3.0,http://www.wikidata.org/entity/Q6290593,Josiah Pearson,Pearson,J.,"Pearson, J.",,91444249,,,,,,,1879.0,1895.0,,,http://www.wikidata.org/wiki/Q6290593,,,,,,http://adb.anu.edu.au/biography/pearson-josiah-brown-4383
809,"Pearson, D.J.",1123,1980.0,2009.0,29.0,"Pearson, D.J.","Pearson, J.",0.789,3.0,http://www.wikidata.org/entity/Q21535945,Joseph Pearson,Pearson,J.,"Pearson, J.",,94921081,,,,,,,1849.0,1939.0,,,http://www.wikidata.org/wiki/Q21535945,,,,,,http://adb.anu.edu.au/biography/pearson-joseph-8003
641,"Eldridge, D.J.",1427,1980.0,2015.0,35.0,"Eldridge, D.J.","Eldridge, G.H.",0.788,1.0,http://www.wikidata.org/entity/Q16744048,George Homans Eldridge,Eldridge,G.H.,"Eldridge, G.H.",,27217316,0000 0000 4862 880X,,,,,,1854.0,1905.0,,,http://www.wikidata.org/wiki/Q16744048,,,,,,
366,"Henshall, T.S.",2801,1890.0,1990.0,100.0,"Henshall, T.S.","Henshall, J.",0.787,1.0,http://www.wikidata.org/entity/Q21516124,John Henshall,Henshall,J.,"Henshall, J.",,,,,39368-1,Henshall,,,,,,,http://www.wikidata.org/wiki/Q21516124,,,https://www.ipni.org/a/39368-1,,,
429,"Jurjevich, P.A.",2459,1997.0,1997.0,0.0,"Jurjevich, P.A.","Jurjević, Ž.",0.786,1.0,http://www.wikidata.org/entity/Q88831003,Željko Jurjević,Jurjević,Ž.,"Jurjević, Ž.",,,,,20037421-1,Jurjević,,,,,,,http://www.wikidata.org/wiki/Q88831003,,,https://www.ipni.org/a/20037421-1,,,
587,"Wilson, I.B.",1601,1886.0,2004.0,118.0,"Wilson, I.B.","Wilson, I.M.",0.786,1.0,http://www.wikidata.org/entity/Q36585068,Irene M. Wilson,Wilson,I.M.,"Wilson, I.M.",,,,,28817-1,I.M.Wilson,,,,,,,http://www.wikidata.org/wiki/Q36585068,,,https://www.ipni.org/a/28817-1,,,
1216,"Lloyd, S.J.",688,2004.0,2019.0,15.0,"Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q5925802,James Lloyd,Lloyd,J.,"Lloyd, J.",,17371999,0000 0000 0692 6649,2602.0,5680-1,J.Lloyd,,,1810.0,1896.0,,,http://www.wikidata.org/wiki/Q5925802,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2602,https://www.ipni.org/a/5680-1,,,
1217,"Lloyd, S.J.",688,2004.0,2019.0,15.0,"Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q21519397,John Lloyd,Lloyd,J.,"Lloyd, J.",,,,79118,5681-1,Jn.Lloyd,,,1791.0,1870.0,,,http://www.wikidata.org/wiki/Q21519397,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=79118,https://www.ipni.org/a/5681-1,,,
1218,"Lloyd, S.J.",688,2004.0,2019.0,15.0,"Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q21389890,Janine Lloyd,Lloyd,J.,"Lloyd, J.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q21389890,,,,,,
1219,"Lloyd, S.J.",688,2004.0,2019.0,15.0,"Lloyd, S.J.","Lloyd, J.",0.785,4.0,http://www.wikidata.org/entity/Q21535130,Jessie Lloyd,Lloyd,J.,"Lloyd, J.",,9690703,,,,,,,1843.0,1885.0,,,http://www.wikidata.org/wiki/Q21535130,,,,,,http://adb.anu.edu.au/biography/lloyd-jessie-georgina-4031
775,"Benson, D.H.",1186,1912.0,2007.0,95.0,"Benson, D.H.","Benson, D.G.",0.784,1.0,http://www.wikidata.org/entity/Q36533834,D.G. Benson,Benson,D.G.,"Benson, D.G.",,,,,32406-1,D.G.Benson,,,,,,,http://www.wikidata.org/wiki/Q36533834,,,https://www.ipni.org/a/32406-1,,,
785,"Strong, B.",1155,1976.0,1988.0,12.0,"Strong, B.","Strong, J.",0.784,1.0,http://www.wikidata.org/entity/Q3186045,Josiah Strong,Strong,J.,"Strong, J.",,71764323,0000 0000 8262 2065,,,,,,1847.0,1916.0,,,http://www.wikidata.org/wiki/Q3186045,,,,,,
