,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
987,"Wilson, K.",897,1933.0,2013.0,80.0,"Wilson, K.","Wilson, K.",1.0,1.0,http://www.wikidata.org/entity/Q6385236,Keith Wilson,Wilson,K.,"Wilson, K.",,295269414,0000 0003 9979 9475,,,,,,1900.0,1987.0,,,http://www.wikidata.org/wiki/Q6385236,,,,,,http://adb.anu.edu.au/biography/wilson-sir-keith-cameron-15797
988,"Porteners, M.F.",896,1989.0,2018.0,29.0,"Porteners, M.F.","Porteners, M.F.",1.0,1.0,http://www.wikidata.org/entity/Q33689592,M.F. Porteners,Porteners,M.F.,"Porteners, M.F.",,,,,20014836-1,Porteners,,,,,,,http://www.wikidata.org/wiki/Q33689592,,,https://www.ipni.org/a/20014836-1,,,
1005,"Carne, W.M.",880,1900.0,1971.0,71.0,"Carne, W.M.","Carne, W.M.",1.0,1.0,http://www.wikidata.org/entity/Q21506989,Walter Mervyn Carne,Carne,W.M.,"Carne, W.M.",,93309524,0000 0000 6498 0846,60753,16905-1,Carne,,P002082b,1885.0,1952.0,,,http://www.wikidata.org/wiki/Q21506989,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60753,https://www.ipni.org/a/16905-1,,http://www.eoas.info/biogs/P002082b,http://adb.anu.edu.au/biography/carne-walter-mervyn-5648
1009,"North, A.J.",873,1992.0,2019.0,27.0,"North, A.J.","North, A.J.",1.0,1.0,http://www.wikidata.org/entity/Q2660548,Alfred John North,North,A.J.,"North, A.J.",,70509037,0000 0000 6381 5005,,,,,P000677b,1855.0,1917.0,,,http://www.wikidata.org/wiki/Q2660548,,,,,http://www.eoas.info/biogs/P000677b,
1021,"Engel, J.J.",860,1976.0,1983.0,7.0,"Engel, J.J.","Engel, J.J.",1.0,1.0,http://www.wikidata.org/entity/Q18719714,John Jay Engel,Engel,J.J.,"Engel, J.J.",,91395141,0000 0001 1684 9365,,18499-1,J.J.Engel,,,1941.0,,,,http://www.wikidata.org/wiki/Q18719714,,,https://www.ipni.org/a/18499-1,,,
1031,"Ducker, S.C.",849,1933.0,2019.0,86.0,"Ducker, S.C.","Ducker, S.C.",1.0,1.0,http://www.wikidata.org/entity/Q21510988,Sophie Charlotte Ducker,Ducker,S.C.,"Ducker, S.C.",,74100811,0000 0001 0442 0211,13335.0,18238-1,Ducker,Q21510988,P000374b,1909.0,2004.0,,,http://www.wikidata.org/wiki/Q21510988,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13335,https://www.ipni.org/a/18238-1,https://bloodhound-tracker.net/Q21510988,http://www.eoas.info/biogs/P000374b,
1039,"Duval, D.J.",843,2004.0,2016.0,12.0,"Duval, D.J.","Duval, D.J.",1.0,1.0,http://www.wikidata.org/entity/Q33670417,Daniel J. Duval,Duval,D.J.,"Duval, D.J.",,,,,20017026-1,D.J.Duval,,,,,,,http://www.wikidata.org/wiki/Q33670417,,,https://www.ipni.org/a/20017026-1,,,
1046,"Anway, J.C.",834,1954.0,1985.0,31.0,"Anway, J.C.","Anway, J.C.",1.0,1.0,http://www.wikidata.org/entity/Q36586071,J.C. Anway,Anway,J.C.,"Anway, J.C.",,,,5626,13238-1,Anway,,,,,,,http://www.wikidata.org/wiki/Q36586071,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=5626,https://www.ipni.org/a/13238-1,,,
1062,"Waterhouse, B.",830,1952.0,2014.0,62.0,"Waterhouse, B.","Waterhouse, B.",1.0,1.0,http://www.wikidata.org/entity/Q2896275,Benjamin Waterhouse,Waterhouse,B.,"Waterhouse, B.",,72559378,0000 0000 8262 6138,60106.0,11429-1,Waterh.,,,1754.0,1846.0,,,http://www.wikidata.org/wiki/Q2896275,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60106,https://www.ipni.org/a/11429-1,,,
1063,"Sage, L.W.",829,1992.0,2011.0,19.0,"Sage, L.W.","Sage, L.W.",1.0,1.0,http://www.wikidata.org/entity/Q19001621,Leigh William Sage,Sage,L.W.,"Sage, L.W.",,35960128,,,37785-1,L.W.Sage,,,1970.0,,,,http://www.wikidata.org/wiki/Q19001621,,,https://www.ipni.org/a/37785-1,,,
1064,"Doust, A.N.L.",828,1986.0,2001.0,15.0,"Doust, A.N.L.","Doust, A.N.L.",1.0,1.0,http://www.wikidata.org/entity/Q26714701,Andrew N.L. Doust,Doust,A.N.L.,"Doust, A.N.L.",,,,,35827-1,Doust,,,,,,,http://www.wikidata.org/wiki/Q26714701,,,https://www.ipni.org/a/35827-1,,,
