,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
668,BLANJ,Blanchet J.S.,Blanchet,Jacques,Samuel,"Blanchet, J.S.","Blanchet, J.S.","Blanchet, J.S.",0.0,1,http://www.wikidata.org/entity/Q3159964,Jacques Samuel Blanchet,Blanchet,J.S.,"Blanchet, J.S.",,,,10982.0,845-1,Blanchet,,,1807.0,1875.0,,
669,DELCG,Delchevalerie G.,Delchevalerie,Gustave,,"Delchevalerie, G.","Delchevalerie, G.","Delchevalerie, G.",0.0,1,http://www.wikidata.org/entity/Q12175693,Gustave Delchevalerie,Delchevalerie,G.,"Delchevalerie, G.",,210138371,0000 0003 5868 5578,,20009099-1,Delchev.,,,1841.0,1899.0,,
670,S035,Steiner M.,Steiner,Maximilian,,"Steiner, M.","Steiner, M.","Steiner, M.",0.0,1,http://www.wikidata.org/entity/Q21512713,Maximilian Steiner,Steiner,M.,"Steiner, M.",,3266341,,,10081-1,M.Steiner,,,1904.0,1988.0,,
671,MKRKG,Mukerji K.G.,Mukerji,Krisha,Gopal,"Mukerji, K.G.","Mukerji, K.G.","Mukerji, K.G.",0.0,1,http://www.wikidata.org/entity/Q21340329,Krishna Gopal Mukerji,Mukerji,K.G.,"Mukerji, K.G.",,69000563,0000 0001 2138 1197,76150,23733-1,Mukerji,,,1934.0,2009.0,,
672,BUSSW,Busse W.,Busse,Walter,Carl Otto,"Busse, W.C.O.","Busse, W.C.O.","Busse, W.C.O.",0.0,1,http://www.wikidata.org/entity/Q21395016,Walter Carl Otto Busse,Busse,W.C.O.,"Busse, W.C.O.",,30306602,0000 0000 8110 029X,28881,1325-1,Busse,,,1865.0,1933.0,,
673,L132,Lizárraga M.,Lizárraga,M.,,"Lizárraga, M.","Lizárraga, M.","Lizárraga, M.",0.0,1,http://www.wikidata.org/entity/Q36629517,Marcos Lizárraga,Lizárraga,M.,"Lizárraga, M.",,,,30720,20001192-1,Lizárraga,,,1996.0,,,
674,RICHO,Richard O.J.,Richard,Olivier,Jules,"Richard, O.J.","Richard, O.J.","Richard, O.J.",0.0,1,http://www.wikidata.org/entity/Q7088161,Olivier Jules Richard,Richard,O.J.,"Richard, O.J.",,71636246,0000 0000 0138 8474,22975,8351-1,O.J.Rich.,,,1836.0,1896.0,,
675,THARB,Tharp B.C.,Tharp,Benjamin,Caroll,"Tharp, B.C.","Tharp, B.C.","Tharp, B.C.",0.0,1,http://www.wikidata.org/entity/Q5725999,Benjamin Carroll Tharp,Tharp,B.C.,"Tharp, B.C.",,,,68334.0,10543-1,Tharp,,,1885.0,1964.0,,
676,B188,Borowska A.,Borowska,Alicja,,"Borowska, A.","Borowska, A.","Borowska, A.",0.0,1,http://www.wikidata.org/entity/Q21506326,Alicja Borowska,Borowska,A.,"Borowska, A.",,101858885,0000 0000 7213 5319,24031,16358-1,Borowska,,,1940.0,,,
677,NELSE,Nelson E.W.,Nelson,Edward,Williams,"Nelson, E.W.","Nelson, E.W.","Nelson, E.W.",0.0,1,http://www.wikidata.org/entity/Q536268,Edward William Nelson,Nelson,E.W.,"Nelson, E.W.",,51865432,0000 0000 8130 6490,27284.0,6905-1,E.W.Nelson,,,1855.0,1934.0,,
678,WEBEJ,Weber J.Z.,Weber,Joseph,Zvonko,"Weber, J.Z.","Weber, J.Z.","Weber, J.Z.",0.0,1,http://www.wikidata.org/entity/Q21388163,Joseph Zvonko Weber,Weber,J.Z.,"Weber, J.Z.",,,,19063,13333-1,J.Z.Weber,,,1930.0,1996.0,,
679,HALLA,Hall A.V.,Hall,Anthony,Vincent,"Hall, A.V.","Hall, A.V.","Hall, A.V.",0.0,1,http://www.wikidata.org/entity/Q18985257,Anthony Vincent Hall,Hall,A.V.,"Hall, A.V.",,,,,3566-1,A.V.Hall,,,1936.0,,,
680,SICKE,Sickenberger Ernest,Sickenberger,Ernest,,"Sickenberger, E.","Sickenberger, E.","Sickenberger, E.",0.0,1,http://www.wikidata.org/entity/Q21608850,Ernst Sickenberger,Sickenberger,E.,"Sickenberger, E.",,77098218,0000 0000 1067 8510,3238,12271-1,Sickenb.,,,1831.0,1895.0,,
681,HUNTP,Hunt P.F.,Hunt,P.F.,,"Hunt, P.F.","Hunt, P.F.","Hunt, P.F.",0.0,1,http://www.wikidata.org/entity/Q5695370,Peter Francis Hunt,Hunt,P.F.,"Hunt, P.F.",,,,,4233-1,P.F.Hunt,,,1936.0,2013.0,,
682,N999,Nylander A.E.,Nylander,Andreas,Edvinus,"Nylander, A.E.","Nylander, A.E.","Nylander, A.E.",0.0,1,http://www.wikidata.org/entity/Q21340587,Andreas Edvinus Nylander,Nylander,A.E.,"Nylander, A.E.",,,,68428,7065-1,A.Nyl.,,,1831.0,1890.0,,
683,S233,Shibuichi H.,Shibuichi,Heinai,,"Shibuichi, H.","Shibuichi, H.","Shibuichi, H.",0.0,1,http://www.wikidata.org/entity/Q21339608,Heinai Shibuichi,Shibuichi,H.,"Shibuichi, H.",,,,64216,26655-1,Shibuichi,,,1936.0,,,
684,C955,Collins F.S.,Collins,F.S.,,"Collins, F.S.","Collins, F.S.","Collins, F.S.",0.0,1,http://www.wikidata.org/entity/Q18154321,Frank Shipley Collins,Collins,F.S.,"Collins, F.S.",,69818820,0000 0000 8258 6519,321.0,1743-1,Collins,,,1848.0,1920.0,,
